,AIC,BIC,Functions_evaluated,Chi-squared,N,N_err,P,P_err
1,-786.637,-782.516,200.0,0.0,50.0089003,0.054468,0.00269207,0.008348
2,-1042.603,-1037.865,128.0,0.0,99.8375293,0.111202,0.00357844,0.01156
3,-1349.582,-1344.352,82.0,0.0,149.925245,0.138964,0.0035595,0.006221
4,-1523.827,-1518.337,48.0,0.0,200.10515,0.182992,0.00383261,0.005543
5,-1753.445,-1747.665,49.0,0.0,250.075819,0.224487,0.00369452,0.006458
