,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
0,23.0,0.0,1.2281885437228474e-05,62.0,0.0,1.9826845160740298e-05,100.0,0.0,8.776920546976947e-06,145.0,0.0,7.681866595626716e-06,187.0,0.0,4.904292540107872e-06
1,24.0,0.0001,2.494497056085183e-05,63.0,0.0001,3.06241263128939e-05,101.0,0.0001,1.2481525842162583e-05,146.0,0.0002,1.0516329860144183e-05,188.0,0.0002,6.5164884886871935e-06
2,25.0,0.0,4.868502466674953e-05,64.0,0.0001,4.659466223393201e-05,102.0,0.0,1.7591332247317696e-05,147.0,0.0,1.4299024836516405e-05,189.0,0.0,8.613001907896405e-06
3,26.0,0.0001,9.145285198875013e-05,65.0,0.0,6.985167563735309e-05,103.0,0.0,2.457404928828615e-05,148.0,0.0,1.9311389384397286e-05,190.0,0.0,1.13242972016233e-05
4,27.0,0.0002,0.00016558884825142457,66.0,0.0004,0.00010320204050650309,104.0,0.0001,3.402845731878738e-05,149.0,0.0001,2.5906296285166627e-05,191.0,0.0,1.4811389708844506e-05
5,28.0,0.0008,0.0002893960694887029,67.0,0.0003,0.0001503038265574967,105.0,0.0,4.671271984015106e-05,150.0,0.0001,3.452243374254766e-05,192.0,0.0001,1.9271703210865405e-05
6,29.0,0.0008,0.0004888051504781598,68.0,0.0005,0.00021583339219508925,106.0,0.0,6.357618480491443e-05,151.0,0.0001,4.5700510656437234e-05,193.0,0.0001,2.4945712283763532e-05
7,30.0,0.0009,0.0007988713042843697,69.0,0.0003,0.00030565239642037445,107.0,0.0001,8.579431284527817e-05,152.0,0.0002,6.010122443104933e-05,194.0,0.0002,3.212439069370888e-05
8,31.0,0.0011,0.0012647310538745494,70.0,0.0005,0.0004269613510346766,108.0,0.0001,0.00011480607401807762,153.0,0.0004,7.852482972263653e-05,195.0,0.0001,4.115746412113528e-05
9,32.0,0.0026,0.0019415635187073933,71.0,0.0009,0.0005884226016059708,109.0,0.0,0.00015235280634121656,154.0,0.0001,0.00010193202590316237,196.0,0.0001,5.2462436655587576e-05
10,33.0,0.0032,0.0028930837149301375,72.0,0.0011,0.0008002323499021998,110.0,0.0003,0.00020051713808332086,155.0,0.0001,0.00013146573990614107,197.0,0.0002,6.65343246519652e-05
