"","Predator_mass_mean","Predator_mass_median","Prey_mass_mean","Prey_mass_median","Ratio_mean","Ratio_median"
"insectivorous",-0.19768531886863,-0.155625491649087,-2.97649490953736,-3.11903048989848,-0.351957272521987,0.0994976217044579
"piscivorous",7.71223438647515,7.97246601597457,1.63552827510992,1.81807677754543,0.767865575545863,2.06478780903796
"planktivorous",-2.8444155291803,-3.83506196429202,-12.2973266641226,-13.9524764130374,1.26754591135773,0.316278612190973
"predacious",4.77986971956941,6.4118182677099,-3.3992920045753,-1.52326021619305,1.25941779753307,0.155712055239411
"predacious/piscivorous",6.06403752213459,6.38012253689976,2.41088614444964,2.61006979274201,3.65048285118042,2.33624542967362
