,X,Actual,Best Poisson,Best NB,Poiss 1,Poiss 2,Poiss 3,Poiss 4,Poiss 5,Neg Binom 1,Neg Binom 2,Neg Binom 3,Neg Binom 4,Neg Binom 5
0,1.0,0.003062459950933586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,0.0022737093039048887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,0.0017993071219285452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,0.0016887463249511258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,0.0014739538947221732,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0
5,6.0,0.0012977636612718244,4.119968255444917e-18,0.0,0.0,0.0,0.0,0.0,4.119968255444917e-18,0.0,0.0,0.0,0.0,0.0
6,7.0,0.0012686267003355369,3.252606517456513e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,3.252606517456513e-17,0.0,0.0,0.0,0.0,2.168404344971009e-19
7,8.0,0.0011553289676928694,2.2139408362154e-16,1.5178830414797062e-18,0.0,0.0,0.0,0.0,2.2139408362154e-16,0.0,0.0,0.0,0.0,1.5178830414797062e-18
8,9.0,0.0011121081919791592,1.3376886404126154e-15,9.540979117872439e-18,0.0,0.0,0.0,0.0,1.3376886404126154e-15,0.0,0.0,0.0,0.0,9.540979117872439e-18
9,10.0,0.0010131793715790443,7.275863939115723e-15,5.789639601072594e-17,0.0,0.0,0.0,0.0,7.275863939115723e-15,0.0,0.0,0.0,0.0,5.789639601072594e-17
10,11.0,0.0009957884262061134,3.5975562806545014e-14,3.18104917407247e-16,0.0,0.0,0.0,6.505213034913027e-19,3.5975562806545014e-14,0.0,0.0,0.0,0.0,3.18104917407247e-16
11,12.0,0.0009301589897331841,1.6305587522552623e-13,1.6040771141923038e-15,0.0,0.0,0.0,3.3610267347050637e-18,1.6305587522552623e-13,0.0,0.0,0.0,1.0842021724855044e-19,1.6040771141923038e-15
12,13.0,0.0009320976524960682,6.821857531993936e-13,7.466466681038675e-15,0.0,0.0,0.0,1.7672495411513722e-17,6.821857531993936e-13,0.0,0.0,0.0,7.589415207398531e-19,7.466466681038675e-15
