,X,Actual,Best Poisson,Best NB,Poiss 1,Poiss 2,Poiss 3,Poiss 4,Poiss 5,Neg Binom 1,Neg Binom 2,Neg Binom 3,Neg Binom 4,Neg Binom 5
0,1.0,0.003250510622236939,2.47198095326695e-17,0.0,0.0,0.0,0.0,0.0,2.47198095326695e-17,0.0,0.0,0.0,0.0,0.0
1,2.0,0.0024108543014096477,4.774826367626162e-16,3.0357660829594124e-18,0.0,0.0,0.0,0.0,4.774826367626162e-16,0.0,0.0,0.0,0.0,3.0357660829594124e-18
2,3.0,0.00213075977863181,6.17214612752548e-15,4.597017211338539e-17,0.0,0.0,0.0,0.0,6.17214612752548e-15,0.0,0.0,0.0,0.0,4.597017211338539e-17
3,4.0,0.00184216890326971,5.982519167557765e-14,5.113097445441639e-16,0.0,0.0,0.0,4.336808689942018e-19,5.982519167557765e-14,0.0,0.0,0.0,0.0,5.113097445441639e-16
4,5.0,0.0016837603966986937,4.639131960526566e-13,4.533266123596391e-15,0.0,0.0,0.0,4.119968255444917e-18,4.639131960526566e-13,0.0,0.0,0.0,6.505213034913027e-19,4.533266123596391e-15
5,6.0,0.001517311717547939,2.9978337520719656e-12,3.349620927850516e-14,0.0,0.0,0.0,3.686287386450715e-17,2.9978337520719656e-12,0.0,0.0,0.0,6.7220534694101275e-18,3.349620927850516e-14
6,7.0,0.0014299532466815613,1.6604720419824415e-11,2.121501758989286e-13,0.0,0.0,0.0,2.7733891572179203e-16,1.6604720419824415e-11,0.0,0.0,0.0,5.312590645178972e-17,2.121501758989286e-13
7,8.0,0.0013729307461160408,8.047549193875014e-11,1.1757055832367636e-12,0.0,0.0,2.168404344971009e-19,1.829265905417543e-15,8.047549193875014e-11,0.0,0.0,2.168404344971009e-19,3.634245682171411e-16,1.1757055832367636e-12
8,9.0,0.0013010253729029192,3.4669150059465914e-10,5.7916390867190914e-12,0.0,0.0,1.3010426069826053e-18,1.0727529975440575e-14,3.4669150059465914e-10,0.0,0.0,1.5178830414797062e-18,2.2132903149119088e-15,5.7916390867190914e-12
9,10.0,0.0012769048551637039,1.3442042585357777e-09,2.567715853309116e-11,0.0,0.0,8.456776945386935e-18,5.6618338489800024e-14,1.3442042585357777e-09,0.0,0.0,1.0191500421363742e-17,1.213330651228528e-14,2.567715853309116e-11
10,11.0,0.0012604253525002685,4.737995755498339e-09,1.0349034671765234e-10,0.0,0.0,4.9439619065339e-17,2.71655961614492e-13,4.737995755498339e-09,0.0,0.0,5.963111948670274e-17,6.046747304255806e-14,1.0349034671765234e-10
11,12.0,0.001230602584704501,1.530860182109156e-08,3.8235276034713495e-10,0.0,2.168404344971009e-19,2.654126918244515e-16,1.1947920951216329e-12,1.530860182109156e-08,0.0,2.168404344971009e-19,3.189722791452354e-16,2.762330295058568e-13,3.8235276034713495e-10
12,13.0,0.001195761836858968,4.565772964175083e-08,1.3039669780143953e-09,0.0,8.673617379884035e-19,1.3160045969629053e-15,4.850686258911496e-12,4.565772964175083e-08,0.0,1.0842021724855044e-18,1.575345756621438e-15,1.1648440458728038e-12,1.3039669780143953e-09
13,14.0,0.0011588682789930762,1.2644698029612433e-07,4.1293754938880045e-09,0.0,4.553649124439119e-18,6.05765437811101e-15,1.8286449394652737e-11,1.2644698029612433e-07,0.0,5.204170427930421e-18,7.224039075270916e-15,4.561161127611402e-12,4.1293754938880045e-09
14,15.0,0.0011409632138155027,3.2684320778368983e-07,1.2205035381657181e-08,0.0,2.211772431870429e-17,2.6024104746169563e-14,6.434167673478874e-11,3.2684320778368983e-07,0.0,2.6237692574149207e-17,3.091797651233463e-14,1.6669397416221865e-11,1.2205035381657181e-08
15,16.0,0.0011405070338109786,7.920304132208802e-07,3.3819339829901235e-08,0.0,1.0278236595162582e-16,1.0481459450373265e-13,2.1223971798794983e-10,7.920304132208802e-07,0.0,1.212138028838794e-16,1.240548462566604e-13,5.711310005658554e-11,3.3819339829901235e-08
