,X,Actual,Best Poisson,Best NB,Poiss 1,Poiss 2,Poiss 3,Poiss 4,Poiss 5,Neg Binom 1,Neg Binom 2,Neg Binom 3,Neg Binom 4,Neg Binom 5
0,6.0,0.0035348538141912805,0.0010443059877694397,3.891063777607118e-10,0.0,0.0,4.7704895589362195e-18,7.410305008503926e-15,0.0010443059877694397,0.0,0.0,4.336808689942018e-18,6.100588784141436e-15,3.891063777607118e-10
1,7.0,0.003375411992501878,0.0017425434507996932,1.8366259871456514e-09,0.0,0.0,3.729655473350135e-17,4.9698960224997535e-14,0.0017425434507996932,0.0,0.0,3.599551212651875e-17,4.1122921040637195e-14,1.8366259871456514e-09
2,8.0,0.0030882673534406357,0.00254417814264767,7.585448131598727e-09,0.0,0.0,2.6194324487249787e-16,2.916577569733736e-13,0.00254417814264767,0.0,0.0,2.5240226575462543e-16,2.425546742623741e-13,7.585448131598727e-09
3,9.0,0.00298421320595247,0.003301861831084807,2.7847700731758324e-08,0.0,8.673617379884035e-19,1.6332421526321639e-15,1.521417974242878e-12,0.003301861831084807,0.0,1.3010426069826053e-18,1.5729605118419698e-15,1.2716980246629817e-12,2.7847700731758324e-08
4,10.0,0.0027714374103412023,0.0038566727070168,9.201106831568245e-08,0.0,4.7704895589362195e-18,9.158038910550559e-15,7.142761642570106e-12,0.0038566727070168,0.0,9.107298248878237e-18,8.828007769245971e-15,6.000691697011229e-12,9.201106831568245e-08
5,11.0,0.0027160497361399657,0.004095189369920318,2.763746863058622e-07,0.0,2.992397996059992e-17,4.669051603678476e-14,3.048534385000079e-11,0.004095189369920318,0.0,5.334274688628682e-17,4.5047299224165727e-14,2.5741036906168357e-11,2.763746863058622e-07
6,12.0,0.002559470648173324,0.0039860857669112605,7.60970963432743e-07,0.0,1.6306400674181987e-16,2.1819959034052872e-13,1.1926898314459922e-10,0.0039860857669112605,0.0,2.883977778811442e-16,2.1070862069039187e-13,1.012190600432894e-10,7.60970963432743e-07
7,13.0,0.0024069367274236263,0.0035814360942541357,1.9340872667757136e-06,0.0,8.257283745649602e-16,9.412800400232513e-13,4.3072678626923655e-10,0.0035814360942541357,0.0,1.444157293750692e-15,9.097722575290845e-13,3.673978048873705e-10,1.9340872667757136e-06
8,14.0,0.0023458235857768683,0.0029880178366514716,4.564568680042597e-06,0.0,3.8805764157601175e-15,3.770499971272878e-12,1.4444138181531063e-09,0.0029880178366514716,0.0,6.711645128554267e-15,3.647525857741751e-12,1.2383011378444553e-09,4.564568680042597e-06
9,15.0,0.0022343014372728054,0.002326731812868475,1.005450657366562e-05,0.0,1.7018504661070466e-14,1.4096647026756726e-11,4.520830941372178e-09,0.002326731812868475,0.0,2.9112996735580765e-14,1.3648999031695697e-11,3.895407684351843e-09,1.005450657366562e-05
10,16.0,0.002214449001238879,0.001698565529436558,2.0763182959910708e-05,0.0,6.997007140352451e-14,4.94087635388718e-11,1.3265276805826676e-08,0.001698565529436558,4.336808689942018e-19,1.1838793834151318e-13,4.78822476460139e-11,1.1488174948663665e-08,2.0763182959910708e-05
11,17.0,0.0021285047562142638,0.0011670666132158145,4.035519982610635e-05,4.336808689942018e-19,2.707513033217701e-13,1.6299084564658228e-10,3.6634108361872225e-08,0.0011670666132158145,1.3010426069826053e-18,4.5310543511645207e-13,1.5809544472167314e-10,3.1887500698962734e-08,4.035519982610635e-05
12,18.0,0.002105167253039585,0.0007573747799684244,7.407703911139476e-05,2.168404344971009e-18,9.89476296037184e-13,5.078072107776721e-10,9.555020567646177e-08,0.0007573747799684244,6.5052130349130266e-18,1.6378244246939566e-12,4.929929103836272e-10,8.359237429035951e-08,7.407703911139476e-05
13,19.0,0.0020789047828003475,0.0004657444118517859,0.00012882198595380156,9.540979117872439e-18,3.425774854765029e-12,1.4988336149469872e-09,2.3610050440495828e-07,0.0004657444118517859,2.7755575615628914e-17,5.608598654949226e-12,1.4564008597207911e-09,2.0760231385060293e-07,0.00012882198595380156
14,20.0,0.0020706277483410612,0.0002723469387097841,0.00021282631677486908,4.0332320816460765e-17,1.1267715059604111e-11,4.202731069408161e-09,5.542252964250115e-07,0.0002723469387097841,1.1492543028346347e-16,1.8245890041901358e-11,4.087378203260217e-09,4.898035134391632e-07,0.00021282631677486908
15,21.0,0.0020939030181739405,0.00015225625553942613,0.00033487283977832885,1.6132928326584306e-16,3.529584697431476e-11,1.1223297911259339e-08,1.2390454048236653e-06,0.00015225625553942613,4.531965080989409e-16,5.653097738186896e-11,1.0924951500315e-08,1.1005837547602149e-06,0.00033487283977832885
16,22.0,0.002055069412891276,8.249942863499315e-05,0.0005029732161106293,6.158268339717665e-16,1.0553778380731349e-10,2.860921977836453e-08,2.6441479602339057e-06,8.249942863499315e-05,1.702197410802242e-15,1.6718778661842237e-10,2.7873457251505196e-08,2.3605977013743673e-06,0.0005029732161106293
17,23.0,0.0020019843723366073,4.530758203111522e-05,0.0007226476701495412,2.2495026674729246e-15,3.018472186609722e-10,6.975677726813248e-08,5.397350012386996e-06,4.530758203111522e-05,6.117068657163216e-15,4.729524658193818e-10,6.802320520445451e-08,4.8430301674345574e-06,0.0007226476701495412
18,24.0,0.002021027774927145,2.875515425152398e-05,0.000995085114179405,7.877379304410681e-15,8.27338017973106e-10,1.6299843455004626e-07,1.0558300793812522e-05,2.875515425152398e-05,2.1067782934869328e-14,1.2821742695345861e-09,1.590889525783859e-07,9.522061654593846e-06,0.000995085114179405
19,25.0,0.0020100124734286967,2.6086731926446786e-05,0.0013155933613354903,2.648055386078596e-14,2.1769578392553945e-09,3.656383523020085e-07,1.982811981400979e-05,2.6086731926446786e-05,6.965782117784869e-14,3.3369361037392797e-09,3.571858729904849e-07,1.7972927112786495e-05,0.0013155933613354903
20,26.0,0.0019709299347788357,3.467526703883274e-05,0.0016727868812336343,8.55955931133856e-14,5.5078704479238905e-09,7.886544999237063e-07,3.580466676357508e-05,3.467526703883274e-05,2.2145870207102014e-13,8.350555806731219e-09,7.711081485626929e-07,3.261948899431445e-05,0.0016727868812336343
21,27.0,0.0019853680700762364,5.511046392618277e-05,0.002048872297870387,2.664283724196359e-13,1.3419211565297157e-08,1.6380664398145742e-06,6.226052962589605e-05,5.511046392618277e-05,6.779902160525264e-13,2.0122989576303735e-08,1.6030461911986302e-06,5.700991832701058e-05,0.002048872297870387
22,28.0,0.0020418137110880586,9.056988243231145e-05,0.0024211885084182757,7.996806342114304e-13,3.152651879790788e-08,3.280817807757748e-06,0.00010439972921244978,9.056988243231145e-05,2.001521344496826e-12,4.676009702445777e-08,3.2135324268284943e-06,9.608084739880771e-05,0.0024211885084182757
23,29.0,0.002070814448366459,0.00014642077171034273,0.0027648828654054775,2.317462194367792e-12,7.151301230877427e-08,6.344434894541961e-06,0.00016902721628290498,0.00014642077171034273,5.7050176215101e-12,1.0491035535653906e-07,6.219845645519771e-06,0.00015634843700383628,0.0027648828654054775
24,30.0,0.002122903755452341,0.00022991091006218387,0.0030563301344957473,6.492101994881594e-12,1.5680895938023978e-07,1.1859893679995806e-05,0.00026454863704735245,0.00022991091006218387,1.5719202415415134e-11,2.2752969753995003e-07,1.163733666528343e-05,0.00024594686745983,0.0030563301344957473
25,31.0,0.002186443997429265,0.000349790688888798,0.0032767095335273955,1.760020037697152e-11,3.327486018840642e-07,2.1455003679757972e-05,0.000400714190326676,0.000349790688888798,4.1914438933532416e-11,4.775484047422202e-07,2.1071116842291595e-05,0.0003744281273470771,0.0032767095335273955
26,32.0,0.002285768410940696,0.0005157359351006172,0.003415092875837217,4.622336801513027e-11,6.840271321684015e-07,3.760006941021677e-05,0.0005880368577261821,0.0005157359351006172,1.0827008083483247e-10,9.709759872297136e-07,3.69601568251509e-05,0.000552249015373038,0.003415092875837217
27,33.0,0.002392934225518819,0.0007374949606050395,0.0034704889843322952,1.1771765593554528e-10,1.3635355518137188e-06,6.389773944594527e-05,0.0008368559670826267,0.0007374949606050395,2.711998065355048e-10,1.9144130093463364e-06,6.286615273560538e-05,0.0007899067802049678,0.0034704889843322952
28,34.0,0.002509995141443006,0.0010237551495383577,0.0034524966479089598,2.909756485237891e-10,2.6381205681419613e-06,0.0001053946149939082,0.0011560804990930166,0.0010237551495383577,6.593337429847135e-10,3.6635139604723754e-06,0.00010378535294050572,0.001096743560912049,0.0034524966479089598
29,35.0,0.0026525094941630416,0.0013808056735514947,0.0033804847207108235,6.98686830179901e-10,4.958310342853198e-06,0.00016887435422181145,0.001551724286208215,0.0013808056735514947,1.5571560299867948e-09,6.8103744204962326e-06,0.00016644379460588202,0.0014795150110959838,0.0033804847207108235
30,36.0,0.0028238378841360804,0.0018111517703890692,0.003281478263731011,1.6310753086709595e-09,9.06021164305635e-06,0.00026307319181261696,0.0020254221800305016,0.0018111517703890692,3.5753988992560937e-09,1.2308630211580341e-05,0.0002595175698307242,0.0019408959264684215,0.003281478263731011
31,37.0,0.0030561549490722784,0.00231229687469879,0.003187118968705069,3.7048126099066547e-09,1.610808061101301e-05,0.00039874307980980895,0.002573173312718484,0.00231229687469879,7.98762490048302e-09,2.1644587719423392e-05,0.00039370380565703763,0.002478158223334129,0.003187118968705069
32,38.0,0.0032876629805650872,0.0028759355492699403,0.0031301627534744184,8.193634863911531e-09,2.788479312132268e-05,0.0005884802636734652,0.003184576248087931,0.0028759355492699403,1.7375167499656535e-08,3.706014577877946e-05,0.0005815600904967139,0.0030822840738699508,0.0031301627534744184
33,39.0,0.003514503511422961,0.003487780419684164,0.0031409797104859347,1.7656554376129646e-08,4.703380603778701e-05,0.0008462434146400246,0.003842788461151468,0.003487780419684164,3.682640595551942e-08,6.18278329503198e-05,0.0008370360726677713,0.0037377556687081953,0.0031409797104859347
34,40.0,0.003828159554090638,0.004128176407795436,0.0032444500123460004,3.709709667188907e-08,7.734950555213444e-05,0.0011865095711277927,0.004525356887283352,0.004128176407795436,7.610168469875112e-08,0.00010056936219327408,0.0011746438536202998,0.00442318979725771,0.0032444500123460004
35,41.0,0.004144553863797478,0.004773542821269965,0.003457544641887452,7.604138561618373e-08,0.00012410270342795137,0.0016230594030347423,0.005205937424409734,0.004773542821269965,1.5342825584931802e-07,0.00015959662499209857,0.0016082565947379453,0.005112865612562492,0.003457544641887452
36,42.0,0.004491753677694892,0.00539854646240829,0.0037877674866263504,1.5215796399150466e-07,0.00019437469104929654,0.0021674428988168884,0.005856770842451675,0.00539854646240829,3.019611277774864e-07,0.0002472387548390605,0.002149583421246063,0.005779045091792359,0.0037877674866263504
37,43.0,0.0048031693200578,0.0059787725801706635,0.004232540300875867,2.9738577418496337e-07,0.0002973577867495577,0.0028272450338213745,0.0064516392596512045,0.0059787725801706635,5.804670129153436e-07,0.0003741024625707875,0.0028064380899664493,0.00639484353815027,0.004232540300875867
38,44.0,0.005192998973087627,0.006493552857630389,0.004779534027815014,5.680171782434726e-07,0.00044456483015441195,0.003604336785505158,0.006968920553382511,0.006493552857630389,1.0904854718125218e-06,0.0005531983350717806,0.0035809829035202,0.006937288275438925,0.004779534027815014
39,45.0,0.005593346060881509,0.006928553911822647,0.005407889430636266,1.0608229655912835e-06,0.0006498776846448539,0.0044933462193413164,0.0073943109320668814,0.006928553911822647,2.0030988660772048e-06,0.0007998564248310261,0.004468182697107165,0.00739014140172519,0.005407889430636266
40,46.0,0.006080446427143396,0.007277739311037518,0.0060902145216448125,1.938112748757319e-06,0.0009293592639205801,0.005480603986401057,0.007722809904400782,0.007277739311037518,3.5994783425807864e-06,0.0011313548654900913,0.0054547216045877575,0.00774607636562614,0.0060902145216448125
