,X,Actual,Best Poisson,Best NB,Poiss 1,Poiss 2,Poiss 3,Poiss 4,Poiss 5,Neg Binom 1,Neg Binom 2,Neg Binom 3,Neg Binom 4,Neg Binom 5
0,4.0,0.0004014409229837072,5.051297921609965e-16,5.598820018715145e-16,5.421010862427522e-20,5.051297921609965e-16,5.049129517264994e-16,5.051297921609965e-16,5.048587416178751e-16,5.421010862427522e-20,5.598820018715145e-16,6.320356564504248e-16,3.448305009590147e-16,4.623580164564434e-16
1,5.0,0.0003201784357599564,4.5959872192746776e-15,5.081980843091305e-15,7.047314121155779e-19,4.5959872192746776e-15,4.5938188149297066e-15,4.5959872192746776e-15,4.5932225037348395e-15,7.047314121155779e-19,5.081980843091305e-15,5.715805433126331e-15,3.1710745140856034e-15,4.216950139773745e-15
2,6.0,0.00036070377691237426,3.4846691504553107e-14,3.844163485797192e-14,6.613633252161577e-18,3.4846691504553107e-14,3.483075373261757e-14,3.4846528874227234e-14,3.4826362713819004e-14,6.938893903907228e-18,3.844163485797192e-14,4.307746650708544e-14,2.4299301720070998e-14,3.205113041290786e-14
3,7.0,0.0005877586499893356,2.2646381298008222e-13,2.4924355114530616e-13,5.431852884152377e-17,2.2646381298008222e-13,2.2636319901847557e-13,2.2646283719812699e-13,2.2633576870351169e-13,5.659535340374333e-17,2.4924355114530616e-13,2.7827620849990575e-13,1.596024744657254e-13,2.0880595429789706e-13
4,8.0,0.0005650249220257842,1.2877932227539635e-12,1.4140198343823296e-12,3.885780586188048e-16,1.2877932227539635e-12,1.2872380028214336e-12,1.2877875849026665e-12,1.2870869734588064e-12,4.0484109120608736e-16,1.4140198343823296e-12,1.5729394783198236e-12,9.17266154525087e-13,1.1902902708610386e-12
5,9.0,0.000546880300638726,6.5094328581885574e-12,7.1307744865106715e-12,2.472523054353193e-15,6.5094328581885574e-12,6.5067122696771396e-12,6.50940477735229e-12,6.505974036417894e-12,2.5733538563943448e-15,7.1307744865106715e-12,7.903100374649641e-12,4.685989010017044e-12,6.031325287293721e-12
6,10.0,0.0005867702270343986,2.961321520032062e-11,3.236406292701083e-11,1.4157728808750214e-14,2.961321520032062e-11,2.96012306463464e-11,2.9613090408650566e-11,2.959798487030263e-11,1.4722923401266907e-14,3.236406292701083e-11,3.5737828711981945e-11,2.154532953956012e-11,2.7505419274674592e-11
7,11.0,0.0007920797951027455,1.2247262242987694e-10,1.3353653046613984e-10,7.369745005231243e-14,1.2247262242987694e-10,1.2242467955191072e-10,1.224721187095476e-10,1.224117219264867e-10,7.657622366069594e-14,1.3353653046613984e-10,1.4691617334586932e-10,9.00568439266003e-11,1.1403419549783911e-10
8,12.0,0.0008566802953718437,4.6431071921287925e-10,5.050715880684092e-10,3.5166075780523887e-13,4.6431071921287925e-10,4.641351125048848e-10,4.643088575293289e-10,4.640877554213524e-10,3.6509423956276876e-13,5.050715880684092e-10,5.536393415115151e-10,3.450621569077786e-10,4.333796297089493e-10
9,13.0,0.0008202498493184506,1.624884433818266e-09,1.7633938517291198e-09,1.5489343748592566e-12,1.624884433818266e-09,1.624291418923264e-09,1.6248780870071686e-09,1.6241318744536146e-09,1.606769947128106e-12,1.7633938517291198e-09,1.92587417714718e-09,1.2204583173074102e-09,1.5203595980914017e-09
10,14.0,0.0010942548127549205,5.280311258333212e-09,5.7170008885363416e-09,6.335158743084324e-12,5.280311258333212e-09,5.2784541514170474e-09,5.28029118021002e-09,5.277955789648528e-09,6.566255135107002e-12,5.7170008885363416e-09,6.220877122025542e-09,4.008417404640155e-09,4.9527662784789456e-09
11,15.0,0.0010946078209531122,1.6015614132417963e-08,1.729949270510081e-08,2.4183478136707848e-11,1.6015614132417963e-08,1.6010193709626794e-08,1.6015554895514386e-08,1.600874312301416e-08,2.5044861150236297e-11,1.729949270510081e-08,1.8755198539621015e-08,1.2287717760179132e-08,1.505902443021956e-08
12,16.0,0.001089242096340597,4.554200494868467e-08,4.907743337981621e-08,8.654685692069397e-11,4.554200494868467e-08,4.5527195424851716e-08,4.554184123697555e-08,4.552324399929343e-08,8.955519789285993e-11,4.907743337981621e-08,5.3012143230290326e-08,3.531469598434117e-08,4.2927031349698774e-08
13,17.0,0.0010424332092603653,1.2189018971150295e-07,1.3104395426470974e-07,2.9151096792544295e-10,1.2189018971150295e-07,1.2185217016956115e-07,1.2188976425322323e-07,1.2184205883374738e-07,3.0139362598539943e-10,1.3104395426470974e-07,1.4103149568165697e-07,9.552773822148197e-08,1.1517375978864312e-07
14,18.0,0.00112567254239399,3.0812267414869615e-07,3.3048269624212645e-07,9.273312929179711e-10,3.0812267414869615e-07,3.080306555382998e-07,3.0812163086973467e-07,3.0800626969686336e-07,9.579740535992781e-10,3.3048269624212645e-07,3.543675270078952e-07,2.4406403603184114e-07,2.9186044187413766e-07
15,19.0,0.0012913039889855794,7.379477929246592e-07,7.896331287162925e-07,2.7946912505537325e-09,7.379477929246592e-07,7.377372105545413e-07,7.379453717888847e-07,7.376816203881736e-07,2.8846449809990377e-09,7.896331287162925e-07,8.436015098811211e-07,5.907821917726895e-07,7.007204645336981e-07
