,X,Actual,Best Poisson,Best NB,Poiss 1,Poiss 2,Poiss 3,Poiss 4,Poiss 5,Neg Binom 1,Neg Binom 2,Neg Binom 3,Neg Binom 4,Neg Binom 5
0,7.0,0.0007920618604523358,5.505140258693815e-09,4.200837091595036e-09,0.0,0.0,2.336455681706262e-16,1.394801093200504e-11,5.505140258693815e-09,0.0,0.0,8.380882793312949e-17,1.250830352923088e-11,4.200837091595036e-09
1,8.0,0.0007304578698137786,2.2130899733456555e-08,1.70834216472451e-08,0.0,0.0,1.574369974666201e-15,7.013235966361192e-11,2.2130899733456555e-08,0.0,0.0,5.773376568485311e-16,6.310881418142289e-11,1.70834216472451e-08
2,9.0,0.0007582313715884759,7.90819461732057e-08,6.175350040159809e-08,0.0,0.0,9.428547352585692e-15,3.134527643954693e-10,7.90819461732057e-08,0.0,0.0,3.535366444040733e-15,2.830278371694292e-10,6.175350040159809e-08
3,10.0,0.001033233358575704,2.543304261082291e-07,2.009051555868814e-07,0.0,0.0,5.081764002656808e-14,1.260864072438056e-09,2.543304261082291e-07,0.0,2.168404344971009e-19,1.9482896199130018e-14,1.1423806891772137e-09,2.009051555868814e-07
4,11.0,0.0014855130164652547,7.43578607743196e-07,5.941940055399601e-07,0.0,2.168404344971009e-19,2.4899591936911047e-13,4.610751916118289e-09,7.43578607743196e-07,0.0,1.3010426069826053e-18,9.760703530148351e-14,4.191793932361437e-09,5.941940055399601e-07
5,12.0,0.0014540462298800922,1.9928165976440277e-06,1.6109326902088994e-06,0.0,1.3010426069826053e-18,1.1183616966531362e-12,1.5455629118763317e-08,1.9928165976440277e-06,0.0,7.589415207398531e-18,4.4825102830936547e-13,1.4099395697405454e-08,1.6109326902088994e-06
6,13.0,0.0014140848882308605,4.929993505074738e-06,4.03148586777184e-06,0.0,6.938893903907228e-18,4.6367122381180126e-12,4.782329829128469e-08,4.929993505074738e-06,0.0,4.0549161250957866e-17,1.900200699914145e-12,4.377629734316629e-08,4.03148586777184e-06
7,14.0,0.0014106870662052326,1.1325091680463098e-05,9.368482379409904e-06,0.0,3.5561831257524545e-17,1.7850620937995276e-11,1.3740663296069044e-07,1.1325091680463098e-05,0.0,2.0122792321330962e-16,7.479851807379312e-12,1.2620976275624224e-07,9.368482379409904e-06
8,15.0,0.0016032549362228806,2.428149946994882e-05,2.0319437694977464e-05,0.0,1.702197410802242e-16,6.414063984799823e-11,3.684789425398641e-07,2.428149946994882e-05,0.0,9.324138683375338e-16,2.748042093360381e-11,3.39612536392293e-07,2.0319437694977464e-05
9,16.0,0.0016246759881235779,4.880710644599752e-05,4.131690091728371e-05,0.0,7.634951698642922e-16,2.160650517009366e-10,9.263795718861267e-07,4.880710644599752e-05,4.336808689942018e-19,4.0505793164058446e-15,9.465097347387263e-11,8.567337293197402e-07,4.131690091728371e-05
10,17.0,0.0015960899636905783,9.233483081413072e-05,7.907121221914244e-05,0.0,3.2209478140199366e-15,6.850256373432118e-10,2.191979010504304e-06,9.233483081413072e-05,2.3852447794681098e-18,1.6562489227323063e-14,3.0683004639646405e-10,2.0341322507972694e-06,7.907121221914244e-05
11,18.0,0.0018406592838395744,0.00016497968417815922,0.00014291930122099436,0.0,1.2833917956145413e-14,2.051188353500641e-09,4.898468602801669e-06,0.00016497968417815922,1.0625181290357943e-17,6.395925455926488e-14,9.39392647654122e-10,4.561304529065091e-06,0.00014291930122099436
12,19.0,0.0019363892261268286,0.00027926953309804375,0.00024473188129070663,0.0,4.84449719923008e-14,5.8186624489996175e-09,1.0370586621338525e-05,0.00027926953309804375,4.618701254788249e-17,2.3399207918495257e-13,2.7246790817482547e-09,9.68987254070788e-06,0.00024473188129070663
13,20.0,0.001964975250559828,0.0004491119433627452,0.0003981314775883772,0.0,1.7372301513995936e-13,1.5680661958131226e-08,2.0857879674993432e-05,0.0004491119433627452,1.8951853975046618e-16,8.13247472836176e-13,7.507705601303427e-09,1.9555591742239503e-05,0.0003981314775883772
14,21.0,0.0019708845062565723,0.0006878892854287456,0.0006168686604301902,4.336808689942018e-19,5.933036180405526e-13,4.0245407072463796e-08,3.9952876512906526e-05,0.0006878892854287456,7.407269242420966e-16,2.691873633720032e-12,1.9701978612798876e-08,3.7586765951137845e-05,0.0006168686604301902
15,22.0,0.0019952601860056414,0.0010058041487698683,0.0009124005575235057,8.673617379884035e-19,1.9341646340098606e-12,9.859726634708216e-08,7.305048674129946e-05,0.0010058041487698683,2.7603787311480943e-15,8.505176597728425e-12,4.935249398214936e-08,6.895982844377035e-05,0.0009124005575235057
16,23.0,0.0024875750512406334,0.001406877288447823,0.0012909798699678884,3.903127820947816e-18,6.03121459025191e-12,2.3105122409902354e-07,0.0001277596950810503,0.001406877288447823,9.840652598347432e-15,2.5704365285567077e-11,1.1825058217600909e-07,0.00012101887762529673,0.0012909798699678884
17,24.0,0.0027645714120255126,0.0018862430597151307,0.0017508187406700979,1.6046192152785466e-17,1.8023233079589307e-11,5.188816058487866e-07,0.00021413246301807756,0.0018862430597151307,3.3622410411382475e-14,7.444697766242903e-11,2.715276785397909e-07,0.00020352979406265855,0.0017508187406700979
18,25.0,0.00317282711497432,0.002428494407262987,0.0022800468182847277,5.898059818321144e-17,5.17049176911033e-11,1.1186636375538038e-06,0.0003445437559610625,0.002428494407262987,1.1028157553827356e-13,2.0699435525003973e-10,5.985441700146962e-07,0.0003286064756018144,0.0022800468182847277
19,26.0,0.003200083556875552,0.0030077311897607146,0.002856154852139338,2.0946785972419946e-16,1.4262565954659134e-10,2.318982359180398e-06,0.0005330598494395202,0.0030077311897607146,3.478120569333498e-13,5.533967832593856e-10,1.268659356398489e-06,0.0005101453780998401,0.002856154852139338
20,27.0,0.0032982510671377132,0.003589654194684305,0.0034473779009154344,7.177418381854039e-16,3.78855035450959e-10,4.629189684787326e-06,0.0007941852798251849,0.003589654194684305,1.0563190946943912e-12,1.4247030647243641e-09,2.589425867314827e-06,0.000762651324719471,0.0034473779009154344
21,28.0,0.00340639044638813,0.00413558905570757,0.004016063533997687,2.373101715136272e-15,9.704076132065198e-10,8.91083244329658e-06,0.0011409867964991653,0.00413558905570757,3.0935085222616454e-12,3.5368599767687803e-09,5.096449758813966e-06,0.001099438495745746,0.004016063533997687
22,29.0,0.003472869572976501,0.004607842992238065,0.004523597054938788,7.575103738721722e-15,2.399912235519913e-09,1.6561194760748767e-05,0.001582743247527592,0.004607842992238065,8.747171823669797e-12,8.477571045769489e-09,9.684833192567712e-06,0.0015303357059296941,0.004523597054938788
23,30.0,0.003523615306272291,0.004975432771576434,0.004936046617536853,2.3374097796180493e-14,5.7373754150380485e-09,2.9753761176822945e-05,0.0021224329693261042,0.004975432771576434,2.3908963350804946e-11,1.9642727091141038e-08,1.7790714044630448e-05,0.00205918703075086,0.004936046617536853
24,31.0,0.0036104074993182195,0.005219082534340154,0.005229473989905791,6.979573169418885e-14,1.327366147248557e-08,5.173110513696788e-05,0.0027545014669142836,0.005219082534340154,6.324313078440169e-11,4.404450160274895e-08,3.162673282217565e-05,0.0026815739477227835,0.005229473989905791
25,32.0,0.004605452292953715,0.0053345148802527095,0.005393882880209101,2.0189926119851265e-13,2.9749517219471167e-08,8.713116559838814e-05,0.003463407093910121,0.0053345148802527095,1.6206071120489218e-10,9.56738753724734e-08,5.446620926015909e-05,0.003383250938717785,0.005393882880209101
26,33.0,0.004674295121820784,0.005333408901654862,0.005435050633335184,5.663377752873622e-13,6.465545109371473e-08,0.00014230874122516095,0.004223389408704708,0.005333408901654862,4.02696774363942e-10,2.0152601461469882e-07,9.095703125861984e-05,0.00413974828609158,0.005435050633335184
27,34.0,0.004756581507397945,0.005241874514457637,0.005373916009914485,1.5418846754933213e-12,1.3638461848416994e-07,0.00022559268693746713,0.004999738026831846,0.005241874514457637,9.712110742368663e-10,4.1200637128195605e-07,0.0001474282648541445,0.004917442800221606,0.005373916009914485
