,AIC,BIC,Functions_evaluated,Chi-squared,R_Squared,Coef,Mu
1,-570.521,-567.194,12.0,0.0,0.9995814063792051,0.99511993,19.9905936
2,-803.411,-799.433,12.0,0.0,0.9993259133199327,0.99118259,39.9780129
3,-1044.803,-1040.306,12.0,0.0,0.9989956499764902,0.98889286,59.9760572
4,-1198.805,-1194.041,12.0,0.0,0.9987215467517027,0.98467987,80.0096284
5,-1332.382,-1327.382,12.0,0.0,0.9980450500391258,0.97831246,99.9893194
