,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
0,8.0,0.0,5.97403432144736e-05,23.0,0.0,1.141012797912928e-05,43.0,0.0,2.706740452622122e-05,64.0,0.0,4.8212180041704505e-05,86.0,0.0,7.332046701051326e-05
1,9.0,0.0002,0.00016347108020421368,24.0,0.0001,2.3321305503991804e-05,44.0,0.0002,4.5031292415790566e-05,65.0,0.0003,7.205985255207494e-05,87.0,0.0002,0.00010267542832852517
2,10.0,0.0002,0.0004029308228744855,25.0,0.0001,4.579268872436131e-05,45.0,0.0,7.330957049441194e-05,66.0,0.0,0.00010615701760840372,88.0,0.0,0.00014224463229635232
3,11.0,0.0006,0.0009036512886060289,26.0,0.0,8.651981456014511e-05,46.0,0.0001,0.00011684218238828224,67.0,0.0003,0.00015417793335077552,89.0,0.0003,0.0001949796125865462
4,12.0,0.0009,0.0018593274464769821,27.0,0.0003,0.0001575265889040998,47.0,0.0002,0.00018240485583664358,68.0,0.0,0.00022080575026963,90.0,0.0002,0.0002644728579034194
5,13.0,0.0024,0.0035344484254150716,28.0,0.0002,0.0002767623054316763,48.0,0.0002,0.0002790405155475406,69.0,0.0003,0.00031189386968859896,91.0,0.0004,0.0003550299793965415
6,14.0,0.0082,0.006244178091961436,29.0,0.0003,0.0004698171576502731,49.0,0.0003,0.0004184856254573343,70.0,0.0002,0.0004346128351592619,92.0,0.0005,0.00047172969246042596
7,15.0,0.0124,0.010304760867687524,30.0,0.0008,0.0007715004071012205,50.0,0.0004,0.0006155408648390888,71.0,0.0006,0.0005975659850968372,93.0,0.0004,0.0006204642818930161
8,16.0,0.0184,0.015956724257642534,31.0,0.0007,0.0012269063030383054,51.0,0.0008,0.0008883207218067548,72.0,0.0005,0.0008108540358941258,94.0,0.0011,0.000807952383292799
9,17.0,0.0247,0.02327513531631594,32.0,0.0011,0.0018915007723362572,52.0,0.0014,0.001258305214000577,73.0,0.0007,0.0010860666968415416,95.0,0.0008,0.001041715472771742
10,18.0,0.0299,0.032091378905864144,33.0,0.0025,0.0028297341765478527,53.0,0.0013,0.001750112154779373,74.0,0.0016,0.0014361788835474038,96.0,0.0014,0.001330009556086895
11,19.0,0.0407,0.04195409934449933,34.0,0.0043,0.004111757707318803,54.0,0.002,0.0023909132746271523,75.0,0.0013,0.0018753306086840408,97.0,0.0015,0.0016817043169405634
12,20.0,0.0535,0.052150043008002724,35.0,0.007,0.005808015679469466,55.0,0.0028,0.0032094345514356625,76.0,0.002,0.002418473596571283,98.0,0.0025,0.002106103522191805
13,21.0,0.0617,0.06178968254084458,36.0,0.0106,0.007981800860423858,56.0,0.005,0.004234511487005596,77.0,0.0041,0.003080874314060852,99.0,0.0037,0.002612702839298516
14,22.0,0.0691,0.06994293921637468,37.0,0.0116,0.010680260742315727,57.0,0.0059,0.005493213111722057,78.0,0.0031,0.0038774723957543714,100.0,0.0025,0.003210884386171951
15,23.0,0.0728,0.07579426246104853,38.0,0.0166,0.013924763103577306,58.0,0.0082,0.007008601287376218,79.0,0.0052,0.004822105011157009,101.0,0.0047,0.003909551215328173
16,24.0,0.0809,0.07877977872183252,39.0,0.0173,0.017701880867990898,59.0,0.0106,0.008797249218229728,80.0,0.0061,0.005926620878243921,102.0,0.0049,0.0047167093627703514
17,25.0,0.0784,0.0786744072612937,40.0,0.0209,0.021956446803510988,60.0,0.0134,0.010866697893761879,81.0,0.0078,0.007199921351891529,103.0,0.0068,0.005639009813403734
18,26.0,0.0751,0.07561145833760012,41.0,0.0265,0.026588084905768687,61.0,0.011,0.013213073323833813,82.0,0.0088,0.0086469790268142,104.0,0.0068,0.006681267427057204
19,27.0,0.0717,0.07003574803351965,42.0,0.0291,0.031452315312066915,62.0,0.0157,0.015819112828493284,83.0,0.0105,0.01026789516531619,105.0,0.0062,0.007845978157950685
20,28.0,0.0622,0.06260741717044857,43.0,0.0368,0.03636677625519171,63.0,0.0191,0.018652848684557303,84.0,0.0128,0.012057064562030397,106.0,0.0109,0.00913285938739378
21,29.0,0.0574,0.0540828601938545,44.0,0.0421,0.04112238902678399,64.0,0.023,0.021667168212575184,85.0,0.0162,0.014002518929780433,107.0,0.0121,0.010538440488449754
22,30.0,0.0435,0.04519992991311479,45.0,0.0436,0.045498532341659056,65.0,0.0261,0.024800410719322073,86.0,0.0143,0.01608551661938075,108.0,0.0133,0.012055731512143168
23,31.0,0.0352,0.0365883331337735,46.0,0.0489,0.049280631085865535,66.0,0.0265,0.027978077599359216,87.0,0.0185,0.018280437041100873,109.0,0.0135,0.013673996875988071
24,32.0,0.031,0.02871614155890544,47.0,0.052,0.05227812872133271,67.0,0.0281,0.03111563033471738,88.0,0.0221,0.02055502271282115,110.0,0.0155,0.015378658010185722
25,33.0,0.0197,0.02187319160944093,48.0,0.0549,0.05434068887079752,68.0,0.0336,0.034122243238649166,89.0,0.0219,0.022870991228366017,111.0,0.0173,0.017151344089147952
26,34.0,0.0152,0.016184508513095858,49.0,0.0543,0.05537068566349763,69.0,0.0368,0.03690527636605041,90.0,0.0237,0.025185015037083983,112.0,0.0159,0.0189701034063409
27,35.0,0.0106,0.011642967918581541,50.0,0.0559,0.05533055472681442,70.0,0.0395,0.039375151744763456,91.0,0.0261,0.027450040667349816,113.0,0.0198,0.02080977996841136
28,36.0,0.0089,0.008150027541488355,51.0,0.0535,0.054244292320009116,71.0,0.0417,0.041450263669078564,92.0,0.0314,0.02961689314806907,114.0,0.0218,0.02264255094951429
29,37.0,0.0046,0.0055554669416709715,52.0,0.0533,0.05219318058734961,72.0,0.0488,0.04306153836854997,93.0,0.0333,0.03163608821398214,115.0,0.0229,0.02443861133093194
30,38.0,0.0028,0.0036903301232651593,53.0,0.0487,0.04930654814108815,73.0,0.0394,0.04415628239371742,94.0,0.0327,0.03345975660672547,116.0,0.0251,0.026166982997885023
31,39.0,0.0029,0.0023905266182364044,54.0,0.0472,0.045748934166623116,74.0,0.0419,0.04470102000048718,95.0,0.0331,0.03504357318913459,117.0,0.0295,0.027796417422047835
32,40.0,0.0017,0.0015110922719374954,55.0,0.0444,0.04170533893975928,75.0,0.0427,0.04468311051225136,96.0,0.035,0.036348579885336935,118.0,0.0305,0.029296354447246598
33,41.0,0.0014,0.0009326713442470486,56.0,0.0351,0.03736629202111956,76.0,0.0442,0.044111046368462845,97.0,0.0401,0.037342796111014535,119.0,0.0296,0.030637895126758585
