,AIC,BIC,Functions_evaluated,Chi-squared,N,N_err,P,P_err
1,-548.938,-545.462,315.0,0.0,24.9804729,0.041311,0.00176959,0.009441
2,-811.481,-807.293,234.0,0.0,49.98782,0.055868,0.00240574,0.005639
3,-942.3,-937.719,219.0,0.0,75.0118709,0.103888,0.00287809,0.009481
4,-1019.135,-1014.422,206.0,0.0,99.9355197,0.118995,0.00298129,0.010322
5,-1253.096,-1248.031,123.0,0.0,124.99639,0.114947,0.00306496,0.009319
