,AIC,BIC,Functions_evaluated,Chi-squared,R_Squared,Coef,Mu
1,-337.276,-334.345,15.0,0.001,0.969298794074286,0.98214531,25.2023333
2,-500.442,-496.828,11.0,0.001,0.9656762355204848,0.99766758,49.8834687
3,-642.795,-638.709,12.0,0.001,0.9544217003334431,0.98770177,74.8233163
4,-856.043,-851.435,12.0,0.001,0.952422854642167,0.97345437,100.119524
5,-854.37,-849.682,12.0,0.001,0.9070771618369858,0.98722736,125.206578
