,1,1_val,2,2_val,3,3_val,4,4_val,5,5_val
0,9.0,0.00012593463108803656,30.0,0.000707798994229503,48.0,0.00022863219815797637,70.0,0.000291654031714493,89.0,0.0001227478443607265
1,10.0,0.00031738465534008735,31.0,0.0011389506120574636,49.0,0.00034912284279055316,71.0,0.0004112713108715975,90.0,0.00017076486283594883
2,11.0,0.0007271667168264745,32.0,0.0017754627251935931,50.0,0.0005224505784109078,72.0,0.0005718928919905697,91.0,0.00023495477215084898
3,12.0,0.00152719150007154,33.0,0.0026838254326760455,51.0,0.0007664997043092252,73.0,0.0007843512959373663,92.0,0.0003197596000933257
4,13.0,0.0029606760983901625,34.0,0.003937603587184963,52.0,0.0011029240361227928,74.0,0.001061201068298529,93.0,0.00043049468372412914
5,14.0,0.005329710427333285,35.0,0.005612037865432365,53.0,0.0015570647942374032,75.0,0.0014166259561860918,94.0,0.0005734124102966383
6,15.0,0.008954742591067532,36.0,0.007776330977708248,54.0,0.0021574954021976174,76.0,0.0018662094421618757,95.0,0.0007557369070624808
7,16.0,0.01410502549204649,37.0,0.010484063862676871,55.0,0.002935108382918071,77.0,0.0024265454882403206,96.0,0.0009856586734783802
8,17.0,0.020910562023930886,38.0,0.013762670303457979,56.0,0.003921688270281891,78.0,0.0031146741189310998,97.0,0.001272277839515902
9,18.0,0.029277497485065605,39.0,0.017603326494775254,57.0,0.005147960038231059,79.0,0.003947337883642038,98.0,0.0016254852617268647
10,19.0,0.038834802703575505,40.0,0.021952874654978614,58.0,0.006641162804078748,80.0,0.004940069915987942,99.0,0.0020557722082154522
11,20.0,0.04893638217218503,41.0,0.026709403309832874,59.0,0.008422268230518249,81.0,0.006106141390709361,100.0,0.0025739620511265656
12,21.0,0.05872909602885977,42.0,0.031722801999361165,60.0,0.010503034007062692,82.0,0.007455414324656856,101.0,0.0031908612133191142
13,22.0,0.06727773889341358,43.0,0.03680100931575412,61.0,0.012883144859484618,83.0,0.008993163128234234,102.0,0.003916831530851595
14,23.0,0.07371982621067744,44.0,0.041721863552078416,62.0,0.015547735866961628,84.0,0.01071894308542056,103.0,0.004761291999624856
