,AIC,BIC,Functions_evaluated,Chi-squared,N,N_err,P,P_err
1,-182.505,-180.96,438.0,0.0,4.97765362,0.026372,0.00090401,0.017394
2,-285.311,-282.955,316.0,0.0,9.92239638,0.036138,0.00127135,0.016311
3,-433.624,-430.571,256.0,0.0,15.0046347,0.0326,0.00153208,0.010358
4,-415.779,-412.786,246.0,0.0,20.0037781,0.04371,0.00204423,0.008824
5,-492.785,-489.51,264.0,0.0,24.98923,0.043123,0.00170787,0.007284
