,Actual,Predicted
0,3,2
1,4,4
2,4,4
3,4,4
4,4,4
5,3,3
6,5,5
7,4,4
8,4,4
9,4,4
10,4,4
11,4,4
12,5,5
13,3,3
14,2,2
15,2,2
16,3,3
17,3,3
18,3,3
19,3,3
20,5,4
21,4,4
22,3,3
23,5,5
24,5,4
25,4,3
26,5,5
27,4,3
28,4,2
29,4,4
30,3,3
31,2,2
32,3,3
33,3,3
34,4,4
35,3,3
36,5,3
37,2,2
38,4,3
39,5,4
40,4,3
41,4,4
42,3,2
43,3,2
44,3,3
45,4,3
46,3,3
47,2,2
48,5,5
49,3,2
50,4,3
51,3,3
52,4,3
53,2,2
54,3,3
55,3,3
56,2,2
57,3,3
58,4,3
59,3,3
60,3,3
61,4,4
62,4,3
63,4,3
64,4,4
65,2,2
66,3,3
67,4,4
68,4,4
69,5,4
70,4,3
71,2,2
72,3,2
73,3,3
74,4,3
75,4,4
76,4,4
77,3,3
78,3,3
79,3,3
80,3,3
81,4,4
82,3,4
83,4,5
84,3,3
85,4,4
86,4,3
87,4,4
88,3,3
89,4,4
90,2,2
91,4,4
92,4,3
93,2,2
94,3,3
95,4,3
96,3,3
97,4,4
98,3,2
99,5,4
