,Actual,Minimum_value,Predicted
0,1,-54.209,1
1,1,-53.685,1
2,1,-60.795,1
3,1,-60.583,1
4,1,-53.938,1
5,1,-67.633,1
6,1,-54.373,1
7,1,-54.263,1
8,1,-54.183,1
9,1,-53.929,1
10,1,-54.096,1
11,1,-47.529,1
12,1,-54.263,1
13,1,-60.357,1
14,1,-54.459,1
15,1,-60.894,1
16,1,-54.57,1
17,1,-53.931,1
18,1,-53.82,1
19,1,-54.206,1
20,1,-61.183,1
21,1,-60.752,1
22,1,-53.657,1
23,1,-53.94,1
24,1,-53.655,1
25,1,-54.372,1
26,1,-60.174,1
27,1,-47.747,1
28,1,-53.872,1
29,1,-54.882,1
30,1,-54.182,1
31,1,-54.401,1
32,1,-54.047,1
33,1,-60.625,1
34,1,-54.376,1
35,1,-53.589,1
36,1,-54.092,1
37,1,-55.225,1
38,1,-54.254,1
39,1,-68.237,1
40,1,-53.985,1
41,1,-67.102,1
42,1,-53.772,1
43,1,-54.441,1
44,1,-60.572,1
45,1,-53.858,1
46,1,-53.934,1
47,1,-47.78,1
48,1,-47.344,1
49,1,-54.288,1
50,1,-53.911,1
51,1,-53.861,1
52,1,-53.939,1
53,1,-61.122,1
54,1,-54.059,1
55,1,-67.33,1
56,1,-48.071,1
57,1,-53.796,1
58,1,-54.096,1
59,1,-60.871,1
60,1,-54.283,1
61,1,-53.57,1
62,1,-53.506,1
63,1,-54.17,1
64,1,-53.797,1
65,1,-67.303,1
66,1,-54.451,1
67,1,-54.241,1
68,1,-60.468,1
69,1,-53.975,1
70,1,-54.285,1
71,1,-47.057,1
72,1,-60.721,1
73,1,-60.196,1
74,1,-53.686,1
75,1,-54.483,1
76,1,-74.051,1
77,1,-67.856,1
78,1,-66.94,1
79,1,-60.823,1
80,1,-53.861,1
81,1,-67.242,1
82,1,-54.284,1
83,1,-53.714,1
84,1,-54.113,1
85,1,-53.849,1
86,1,-54.485,1
87,1,-54.46,1
88,1,-53.848,1
89,1,-60.577,1
90,1,-54.174,1
91,1,-60.882,1
92,1,-54.529,1
93,1,-60.992,1
94,1,-54.046,1
95,1,-61.398,1
96,1,-54.155,1
97,1,-60.874,1
98,1,-60.476,1
99,1,-60.453,1
100,1,-96.033,2
101,1,-95.285,2
102,1,-96.806,2
103,1,-105.533,2
104,1,-112.047,2
105,1,-96.165,2
106,1,-103.339,2
