,Actual,Minimum_value,Predicted
0,1,-178.151,1
1,1,-176.52,1
2,1,-184.977,1
3,1,-189.278,1
4,1,-182.973,1
5,5,-253.811,1
6,1,-184.615,1
7,1,-195.514,1
8,1,-177.646,1
9,1,-182.116,1
10,1,-185.917,1
11,1,-165.764,1
12,1,-188.858,1
13,3,-204.233,1
14,1,-178.27,1
15,1,-195.545,1
16,1,-176.278,1
17,1,-183.159,1
18,1,-184.306,1
19,1,-180.158,1
20,1,-214.195,1
21,1,-207.184,1
22,1,-184.132,1
23,1,-185.378,1
24,1,-180.562,1
25,1,-184.383,1
26,1,-199.584,1
27,1,-166.309,1
28,1,-184.272,1
29,1,-183.101,1
30,1,-184.946,1
31,1,-181.433,1
32,1,-185.373,1
33,1,-208.59,1
34,1,-191.349,1
35,1,-179.283,1
36,1,-195.517,1
37,1,-196.108,1
38,3,-211.246,1
39,5,-228.445,1
40,1,-188.989,1
41,1,-221.484,1
42,1,-179.371,1
43,1,-179.094,1
44,1,-211.146,1
45,1,-182.061,1
46,1,-177.6,1
47,1,-167.171,1
48,1,-170.237,1
49,1,-178.149,1
50,1,-198.841,1
51,3,-183.997,1
52,1,-187.973,1
53,1,-184.353,1
54,1,-180.738,1
55,1,-206.184,1
56,3,-167.239,1
57,1,-170.112,1
58,1,-177.041,1
59,1,-188.929,1
60,1,-178.732,1
61,1,-189.819,1
62,3,-197.413,1
63,1,-177.239,1
64,1,-175.669,1
65,1,-204.922,1
66,1,-177.672,1
67,1,-185.939,1
68,1,-185.952,1
69,1,-190.156,1
70,1,-173.913,1
71,1,-155.7,1
72,3,-203.525,1
73,1,-196.97,1
74,1,-177.933,1
75,1,-197.664,1
76,3,-242.2,1
77,1,-214.488,1
78,1,-210.022,1
79,1,-196.411,1
80,1,-179.918,1
81,1,-196.587,1
82,1,-198.913,1
83,1,-181.427,1
84,1,-195.951,1
85,1,-197.845,1
86,1,-175.503,1
87,1,-194.472,1
88,1,-176.735,1
89,1,-190.484,1
90,1,-176.444,1
91,1,-210.132,1
92,1,-190.696,1
93,1,-185.732,1
94,1,-183.22,1
95,1,-200.183,1
96,4,-202.107,1
97,1,-192.655,1
98,1,-201.297,1
