,Actual,Minimum_value,Predicted
0,1,-364.811,1
1,1,-324.193,1
2,1,-289.209,1
3,1,-316.368,1
4,1,-319.346,1
5,3,-354.573,1
6,1,-329.342,1
7,1,-309.799,1
8,1,-317.929,1
9,1,-288.806,1
10,1,-308.002,1
11,1,-367.234,1
12,1,-294.882,1
13,1,-278.627,1
14,1,-341.657,1
15,1,-337.814,1
16,1,-309.903,1
17,1,-324.273,1
18,1,-337.668,1
19,1,-309.153,1
20,1,-306.652,1
21,1,-342.762,1
22,1,-317.42,1
23,1,-352.11,1
24,1,-313.327,1
25,1,-317.926,1
26,1,-307.026,1
27,1,-358.789,1
28,1,-304.136,1
29,1,-319.074,1
30,1,-322.926,1
31,1,-328.426,1
32,1,-296.989,1
33,1,-283.813,1
34,1,-312.241,1
35,1,-279.609,1
36,1,-356.805,1
37,1,-343.338,1
38,1,-321.488,1
39,1,-330.067,1
40,1,-301.188,1
41,1,-324.115,1
42,1,-294.371,1
43,1,-351.087,1
44,1,-357.314,1
45,1,-319.586,1
46,1,-328.716,1
47,1,-296.309,1
48,1,-342.586,1
49,1,-310.165,1
50,1,-315.647,1
51,1,-296.007,1
52,1,-298.231,1
53,1,-317.595,1
54,1,-333.006,1
55,1,-300.26,1
56,1,-334.654,1
57,1,-311.527,1
58,1,-336.312,1
59,1,-284.298,1
60,1,-341.396,1
61,1,-296.217,1
62,1,-340.855,1
63,1,-306.996,1
64,1,-292.508,1
65,1,-325.085,1
66,1,-323.507,1
67,1,-318.785,1
68,1,-327.235,1
69,1,-294.117,1
70,1,-300.091,1
71,1,-343.499,1
72,1,-327.933,1
73,1,-359.802,1
74,1,-287.499,1
75,1,-320.547,1
76,1,-322.031,1
77,1,-324.537,1
78,1,-291.068,1
79,1,-347.997,1
80,1,-346.477,1
81,1,-316.721,1
82,1,-291.574,1
83,1,-318.816,1
84,1,-297.171,1
85,1,-326.56,1
86,1,-341.079,1
87,1,-301.749,1
88,1,-328.731,1
89,1,-337.157,1
90,1,-308.09,1
91,1,-320.708,1
92,1,-299.312,1
93,1,-302.515,1
94,1,-300.141,1
95,1,-285.922,1
96,1,-324.543,1
97,1,-289.331,1
98,1,-290.63,1
99,1,-285.078,1
100,2,-647.249,2
101,2,-572.267,2
102,2,-570.051,2
103,2,-586.908,2
104,2,-578.484,2
105,2,-542.352,2
106,2,-561.554,2
107,2,-547.353,2
108,2,-534.209,2
109,2,-538.355,2
110,2,-595.88,2
111,2,-560.876,2
112,2,-569.499,2
113,2,-529.727,2
114,2,-544.105,2
115,2,-522.845,2
116,2,-525.714,2
117,2,-529.562,2
118,2,-525.246,2
119,2,-562.227,2
120,2,-588.677,2
121,2,-560.261,2
122,2,-533.088,2
123,2,-578.105,2
124,2,-504.806,2
125,2,-604.639,2
126,2,-553.913,2
127,2,-554.856,2
128,2,-576.011,2
129,2,-623.13,2
130,2,-552.908,2
131,2,-503.243,2
132,2,-550.168,2
133,2,-573.068,2
134,2,-557.208,2
135,2,-557.204,2
