,Better_Model
0,P
1,NB
2,P
3,NB
4,P
5,P
6,NB
7,NB
8,NB
9,NB
10,P
11,P
12,NB
13,P
14,NB
15,NB
16,NB
17,P
18,P
19,NB
20,P
21,NB
22,P
23,P
24,P
25,NB
26,P
27,P
28,P
29,NB
30,P
31,P
32,P
33,P
34,P
35,NB
36,P
37,P
38,P
39,P
40,NB
41,P
42,P
43,P
44,P
45,P
46,P
47,P
48,NB
49,P
50,P
51,P
52,P
53,NB
54,NB
55,P
56,P
57,P
58,NB
59,NB
60,NB
61,P
62,P
63,P
64,NB
65,NB
66,NB
67,P
68,P
69,P
70,P
71,NB
72,NB
73,NB
74,P
75,NB
76,P
77,P
78,NB
79,NB
80,P
81,NB
82,P
83,P
84,NB
85,NB
86,NB
87,P
88,NB
89,NB
90,NB
91,NB
92,P
93,NB
94,P
95,NB
96,P
97,P
98,P
99,P
100,P
101,NB
102,NB
103,P
104,NB
105,P
106,P
107,P
108,NB
109,P
110,P
111,P
112,NB
113,P
114,P
115,NB
116,P
117,NB
118,NB
119,P
120,NB
121,P
122,P
123,P
124,P
125,NB
126,P
127,P
128,P
129,NB
130,P
131,NB
132,P
133,P
134,NB
135,P
136,P
137,NB
138,P
139,NB
140,NB
141,NB
142,NB
143,P
144,NB
145,NB
146,P
147,P
148,NB
149,P
150,P
151,P
152,NB
153,P
154,P
155,P
156,NB
157,P
158,NB
159,NB
160,P
161,P
162,P
163,P
164,P
165,NB
166,NB
167,NB
168,P
169,P
170,P
171,NB
172,NB
173,P
174,P
175,P
176,P
177,NB
178,P
179,P
180,P
181,P
182,P
183,P
184,NB
185,P
186,NB
187,NB
188,NB
189,P
190,P
191,P
192,NB
193,P
194,P
195,P
196,P
197,P
198,P
199,NB
200,P
201,P
202,P
203,P
204,P
205,P
206,NB
207,P
208,P
209,P
210,P
211,NB
212,P
213,P
214,P
215,NB
216,P
217,P
218,P
219,P
220,P
221,P
222,P
223,P
224,NB
225,P
226,NB
227,P
228,P
229,P
230,P
231,NB
232,P
233,P
234,P
235,P
236,P
237,P
238,P
239,P
240,P
241,P
242,P
243,P
244,P
245,P
246,NB
247,NB
248,NB
249,P
250,P
251,NB
252,P
253,P
254,P
255,P
256,P
257,NB
258,NB
259,P
260,NB
261,P
262,P
263,P
264,P
265,P
266,P
267,P
268,NB
269,NB
270,P
271,NB
272,P
273,P
274,P
275,P
276,P
277,NB
278,P
279,P
280,NB
281,P
282,P
283,NB
284,P
285,P
286,NB
287,NB
288,P
289,NB
290,P
291,P
292,NB
293,P
294,NB
295,NB
296,NB
297,P
298,P
299,P
300,NB
301,P
302,P
303,NB
304,NB
305,P
306,P
307,NB
308,NB
309,P
310,P
311,P
312,P
313,NB
314,P
315,P
316,NB
317,NB
318,P
319,NB
320,P
321,NB
322,NB
323,P
324,P
325,P
326,P
327,NB
328,NB
329,P
330,P
331,P
332,P
333,P
334,P
335,P
336,P
337,P
338,NB
339,P
340,P
341,P
342,P
343,NB
344,P
345,P
346,P
347,NB
348,NB
349,NB
350,P
351,NB
352,P
353,P
354,NB
355,P
356,P
357,P
358,P
359,NB
360,P
361,P
362,P
363,NB
364,NB
365,P
366,NB
367,P
368,NB
369,NB
370,P
371,NB
372,NB
373,P
374,NB
375,NB
376,P
377,P
378,P
379,NB
380,P
381,NB
382,NB
383,P
384,NB
385,P
386,P
387,NB
388,NB
389,P
390,P
391,P
392,P
393,P
394,NB
395,P
396,NB
397,NB
398,P
399,P
400,NB
401,NB
402,NB
403,NB
404,NB
405,NB
406,NB
407,NB
408,NB
409,NB
410,NB
411,NB
412,NB
413,NB
414,NB
415,NB
416,NB
417,NB
418,NB
419,NB
420,NB
421,NB
422,NB
423,NB
424,NB
425,NB
426,NB
427,NB
428,NB
429,NB
430,NB
431,NB
432,NB
433,NB
434,NB
435,NB
436,NB
437,NB
438,NB
439,NB
440,NB
441,NB
442,NB
443,NB
444,NB
445,NB
446,NB
447,NB
448,NB
449,NB
450,NB
451,NB
452,NB
453,NB
454,NB
455,NB
456,NB
457,NB
458,NB
459,NB
460,NB
461,NB
462,NB
463,NB
464,NB
465,NB
466,NB
467,NB
468,NB
469,NB
470,NB
471,NB
472,NB
473,NB
474,NB
475,NB
476,NB
477,NB
478,NB
479,NB
480,NB
481,NB
482,NB
483,NB
484,NB
485,NB
486,NB
487,NB
488,NB
489,NB
490,NB
491,NB
492,NB
493,NB
494,NB
495,NB
496,NB
497,NB
498,NB
499,NB
