,Actual,Minimum_value,Predicted
0,1,-631.973,1
1,1,-531.484,1
2,1,-511.026,1
3,2,-502.066,1
4,1,-519.416,1
5,1,-505.37,1
6,2,-566.491,1
7,2,-588.894,1
8,1,-524.412,1
9,1,-462.324,1
10,1,-539.056,1
11,1,-514.47,1
12,1,-548.266,1
13,2,-543.477,1
14,1,-528.497,1
15,2,-500.807,1
16,2,-495.453,1
17,1,-496.001,1
18,1,-531.335,1
19,2,-545.731,1
20,1,-489.406,1
21,2,-515.817,1
22,1,-531.545,1
23,1,-544.535,1
24,1,-589.475,1
25,2,-544.622,1
26,1,-512.285,1
27,1,-492.522,1
28,2,-601.341,1
29,2,-538.291,1
30,1,-573.368,1
31,1,-497.908,1
32,1,-530.332,1
33,1,-541.901,1
34,1,-646.217,1
35,1,-492.726,1
36,1,-564.858,1
37,1,-499.69,1
38,1,-508.38,1
39,1,-508.197,1
40,2,-498.885,1
41,1,-560.874,1
42,1,-483.26,1
43,2,-502.897,1
44,1,-500.468,1
45,1,-555.91,1
46,2,-513.869,1
47,1,-647.971,1
48,1,-547.129,1
49,1,-469.952,1
50,1,-506.734,1
51,2,-533.09,1
52,1,-724.479,1
53,1,-510.495,1
54,2,-525.476,1
55,2,-551.203,1
56,1,-577.768,1
57,1,-508.753,1
58,1,-534.7,1
59,2,-512.857,1
60,2,-501.852,1
61,1,-524.237,1
62,2,-591.031,1
63,1,-538.792,1
64,2,-527.386,1
65,1,-573.181,1
66,2,-491.988,1
67,1,-470.75,1
68,2,-524.869,1
69,1,-595.121,1
70,1,-508.0,1
71,1,-532.102,1
72,2,-529.982,1
73,2,-533.379,1
74,1,-502.591,1
75,2,-561.706,1
76,1,-517.521,1
77,1,-553.352,1
78,2,-547.508,1
79,1,-494.211,1
80,1,-513.903,1
81,1,-533.609,1
82,1,-530.566,1
83,1,-535.259,1
84,2,-541.979,1
85,2,-616.259,1
86,2,-531.168,1
87,1,-530.161,1
88,2,-519.506,1
89,2,-544.014,1
90,2,-556.775,1
91,2,-528.012,1
92,1,-485.406,1
93,1,-526.149,1
94,1,-541.306,1
95,1,-508.608,1
96,2,-507.234,1
97,1,-563.095,1
98,2,-513.844,1
99,1,-583.388,1
100,3,-1105.946,2
101,3,-1026.651,2
102,3,-1074.014,2
103,2,-1085.459,2
104,4,-1070.185,2
105,3,-1109.833,2
106,2,-1011.219,2
107,3,-1076.625,2
108,3,-1036.876,2
109,2,-1219.083,2
110,2,-1048.412,2
111,3,-1028.024,2
112,3,-1042.922,2
113,3,-1125.809,2
114,3,-1039.104,2
115,3,-1069.507,2
116,3,-1064.636,2
117,3,-1051.286,2
118,3,-1082.75,2
119,3,-1007.009,2
120,4,-1121.045,2
121,2,-1038.471,2
122,2,-1098.197,2
123,3,-1039.881,2
124,2,-1070.55,2
125,3,-1088.666,2
126,2,-1036.808,2
127,2,-1018.262,2
128,2,-1071.259,2
129,3,-1085.826,2
130,3,-1075.589,2
131,3,-1049.931,2
132,3,-1026.749,2
133,3,-1000.912,2
134,3,-992.577,2
135,2,-1080.421,2
136,3,-1081.307,2
137,4,-1032.932,2
138,3,-1056.897,2
139,3,-980.46,2
140,3,-1020.972,2
141,4,-1245.891,2
142,3,-1010.128,2
143,2,-995.427,2
144,3,-1052.374,2
145,3,-1087.693,2
146,3,-1124.713,2
147,3,-1082.531,2
148,3,-1152.691,2
149,3,-1033.871,2
150,3,-1053.023,2
151,3,-1133.369,2
152,4,-1004.111,2
153,3,-1025.777,2
154,2,-1057.661,2
155,4,-1073.634,2
156,3,-1060.812,2
157,3,-1131.429,2
158,3,-1058.64,2
159,3,-1085.404,2
160,3,-1051.695,2
161,3,-1014.999,2
162,3,-1023.261,2
163,2,-981.316,2
164,3,-1118.768,2
165,3,-1160.239,2
166,3,-1032.807,2
167,4,-1067.028,2
168,3,-996.881,2
169,3,-1087.123,2
170,2,-1147.223,2
171,4,-1073.563,2
172,3,-1071.735,2
173,3,-987.92,2
174,3,-1071.669,2
175,3,-1053.215,2
176,3,-1080.422,2
177,3,-992.43,2
178,2,-994.271,2
179,3,-1115.02,2
180,2,-1010.254,2
181,2,-1087.935,2
182,2,-1068.835,2
183,3,-1015.414,2
184,3,-1064.633,2
185,3,-1033.574,2
186,3,-1057.238,2
187,3,-1056.066,2
188,3,-1121.2,2
189,2,-942.802,2
190,3,-1018.801,2
191,3,-1076.318,2
192,2,-1060.266,2
193,3,-1173.171,2
194,2,-1023.001,2
195,3,-1031.133,2
196,3,-1030.814,2
197,3,-1083.293,2
198,3,-1040.502,2
199,3,-1087.593,2
200,4,-1555.35,3
201,4,-1635.802,3
202,4,-1576.879,3
203,4,-1611.531,3
204,5,-1586.991,3
205,5,-1579.998,3
206,5,-1566.415,3
207,4,-1588.567,3
208,4,-1565.917,3
209,4,-1544.572,3
210,4,-1654.438,3
211,5,-1552.325,3
212,4,-1565.425,3
213,4,-1527.696,3
214,4,-1572.458,3
215,5,-1543.741,3
216,4,-1513.691,3
217,4,-1587.148,3
218,4,-1541.353,3
219,4,-1720.268,3
220,4,-1606.645,3
221,4,-1586.596,3
222,4,-1652.835,3
223,4,-1495.33,3
224,4,-1591.314,3
225,4,-1550.254,3
226,5,-1619.394,3
227,4,-1588.154,3
228,4,-1579.23,3
229,4,-1610.109,3
230,5,-1584.15,3
231,5,-1627.879,3
232,5,-1662.727,3
233,5,-1556.21,3
234,5,-1536.276,3
235,4,-1546.558,3
236,4,-1532.129,3
237,4,-1577.185,3
238,5,-1505.937,3
239,4,-1626.337,3
240,4,-1562.308,3
241,5,-1548.407,3
242,4,-1623.483,3
243,5,-1595.945,3
244,4,-1640.072,3
245,4,-1551.751,3
246,5,-1557.618,3
247,5,-1620.301,3
248,5,-1520.584,3
249,4,-1546.99,3
250,4,-1544.098,3
251,5,-1552.824,3
252,4,-1684.987,3
253,4,-1622.837,3
254,4,-1547.787,3
255,4,-1655.331,3
256,4,-1579.337,3
257,5,-1586.526,3
258,5,-1521.306,3
259,3,-1470.947,3
260,4,-1537.701,3
261,4,-1588.33,3
262,4,-1705.165,3
263,5,-1602.48,3
264,4,-1535.706,3
265,4,-1554.337,3
266,5,-1515.746,3
267,4,-1550.319,3
268,4,-1613.011,3
269,5,-1621.951,3
270,4,-1587.499,3
271,5,-1571.2,3
272,5,-1589.717,3
273,4,-1496.635,3
274,4,-1547.423,3
275,3,-1573.113,3
276,4,-1470.757,3
277,5,-1547.181,3
278,4,-1670.847,3
279,4,-1489.956,3
280,5,-1557.136,3
281,4,-1450.463,3
282,4,-1610.548,3
283,5,-1720.256,3
284,4,-1569.32,3
285,4,-1615.572,3
286,4,-1540.617,3
287,4,-1498.064,3
288,4,-1625.977,3
289,4,-1457.777,3
290,4,-1564.085,3
291,4,-1628.072,3
292,4,-1598.198,3
293,5,-1565.004,3
294,4,-1558.851,3
295,5,-1546.153,3
296,5,-1571.376,3
297,4,-1586.362,3
298,5,-1606.282,3
299,4,-1609.774,3
300,5,-2065.973,4
301,5,-2164.535,4
302,5,-2042.135,4
303,5,-2137.581,4
304,5,-2068.154,4
305,5,-2059.67,4
306,5,-2077.154,4
307,5,-2068.062,4
308,5,-2017.991,4
309,5,-2066.957,4
310,5,-2088.59,4
311,5,-2106.932,4
312,5,-2102.044,4
313,5,-2009.537,4
314,5,-2088.784,4
315,4,-2033.342,4
316,5,-2059.996,4
317,5,-2089.857,4
318,5,-2088.674,4
319,5,-2124.996,4
320,5,-2194.425,4
321,5,-2055.06,4
