,Better_Model
0,NB
1,NB
2,NB
3,P
4,P
5,NB
6,NB
7,NB
8,NB
9,NB
10,NB
11,P
12,NB
13,P
14,P
15,NB
16,P
17,NB
18,NB
19,P
20,NB
21,NB
22,P
23,NB
24,NB
25,NB
26,P
27,NB
28,NB
29,P
30,NB
31,NB
32,NB
33,NB
34,NB
35,NB
36,NB
37,P
38,NB
39,NB
40,NB
41,NB
42,NB
43,NB
44,P
45,NB
46,P
47,NB
48,NB
49,NB
50,NB
51,NB
52,P
53,P
54,NB
55,P
56,NB
57,P
58,P
59,NB
60,NB
61,NB
62,NB
63,P
64,NB
65,NB
66,NB
67,NB
68,P
69,NB
70,NB
71,NB
72,NB
73,NB
74,P
75,NB
76,NB
77,NB
78,NB
79,P
80,NB
81,NB
82,P
83,NB
84,NB
85,P
86,NB
87,NB
88,P
89,NB
90,P
91,NB
92,NB
93,NB
94,NB
95,NB
96,NB
97,P
98,NB
99,P
100,P
101,NB
102,P
103,NB
104,P
105,NB
106,NB
107,NB
108,P
109,NB
110,P
111,NB
112,NB
113,P
114,NB
115,NB
116,NB
117,NB
118,NB
119,NB
120,NB
121,NB
122,NB
123,NB
124,NB
125,NB
126,P
127,NB
128,P
129,NB
130,NB
131,P
132,P
133,NB
134,NB
135,NB
136,NB
137,P
138,NB
139,NB
140,NB
141,NB
142,NB
143,NB
144,NB
145,NB
146,NB
147,NB
148,NB
149,NB
150,P
151,P
152,NB
153,NB
154,NB
155,NB
156,NB
157,P
158,NB
159,NB
160,NB
161,NB
162,P
163,NB
164,NB
165,NB
166,NB
167,NB
168,NB
169,NB
170,NB
171,P
172,NB
173,P
174,P
175,NB
176,P
177,NB
178,NB
179,NB
180,NB
181,P
182,NB
183,NB
184,NB
185,P
186,NB
187,NB
188,NB
189,NB
190,NB
191,P
192,NB
193,NB
194,NB
195,NB
196,NB
197,NB
198,P
199,P
200,NB
201,NB
202,NB
203,NB
204,NB
205,NB
206,NB
207,NB
208,NB
209,NB
210,NB
211,NB
212,NB
213,NB
214,NB
215,NB
216,NB
217,NB
218,NB
219,NB
220,NB
221,NB
222,NB
223,NB
224,NB
225,NB
226,NB
227,NB
228,NB
229,NB
230,NB
231,NB
232,NB
233,NB
234,NB
235,NB
236,NB
237,NB
238,NB
239,NB
240,NB
241,NB
242,NB
243,NB
244,NB
245,NB
246,NB
247,NB
248,NB
249,NB
250,NB
251,NB
252,NB
253,NB
254,NB
255,NB
256,NB
257,NB
258,NB
259,NB
260,NB
261,NB
262,NB
263,NB
264,NB
265,NB
266,NB
267,NB
268,NB
269,NB
270,NB
271,NB
272,NB
273,NB
274,NB
275,NB
276,NB
277,NB
278,NB
279,NB
280,NB
281,NB
282,NB
283,NB
284,NB
285,NB
286,NB
287,NB
288,NB
289,NB
290,NB
291,NB
292,NB
293,NB
294,NB
295,NB
296,NB
297,NB
298,NB
299,NB
300,NB
301,NB
302,NB
303,NB
304,NB
305,NB
306,NB
307,NB
308,NB
309,NB
310,NB
311,NB
312,NB
313,NB
314,NB
315,NB
316,NB
317,NB
318,NB
319,NB
320,NB
321,NB
322,NB
323,NB
324,NB
325,NB
326,NB
327,NB
328,NB
329,NB
330,NB
331,NB
332,NB
333,NB
334,NB
335,NB
336,NB
337,NB
338,NB
339,NB
340,NB
341,NB
342,NB
343,NB
344,NB
345,NB
346,NB
347,NB
348,NB
349,NB
350,NB
351,NB
352,NB
353,NB
354,NB
355,NB
356,NB
357,NB
358,NB
359,NB
360,NB
361,NB
362,NB
363,NB
364,NB
365,NB
366,NB
367,NB
368,NB
369,NB
370,NB
371,NB
372,NB
373,NB
374,NB
375,NB
376,NB
377,NB
378,NB
379,NB
380,NB
381,NB
382,NB
383,NB
384,NB
385,NB
386,NB
387,NB
388,NB
389,NB
390,NB
391,NB
392,NB
393,NB
394,NB
395,NB
396,NB
397,NB
398,NB
399,NB
400,NB
401,NB
402,NB
403,NB
404,NB
405,NB
406,NB
407,NB
408,NB
409,NB
410,NB
411,NB
412,NB
413,NB
414,NB
415,NB
416,NB
417,NB
418,NB
419,NB
420,NB
421,NB
422,NB
423,NB
424,NB
425,NB
426,NB
427,NB
428,NB
429,NB
430,NB
431,NB
432,NB
433,NB
434,NB
435,NB
436,NB
437,NB
438,NB
439,NB
440,NB
441,NB
442,NB
443,NB
444,NB
445,NB
446,NB
447,NB
448,NB
449,NB
450,NB
451,NB
452,NB
453,NB
454,NB
455,NB
456,NB
457,NB
458,NB
459,NB
460,NB
461,NB
462,NB
463,NB
464,NB
465,NB
466,NB
467,NB
468,NB
469,NB
470,NB
471,NB
472,NB
473,NB
474,NB
475,NB
476,NB
477,NB
478,NB
479,NB
480,NB
481,NB
482,NB
483,NB
484,NB
485,NB
486,NB
487,NB
488,NB
489,NB
490,NB
491,NB
492,NB
493,NB
494,NB
495,NB
496,NB
497,NB
498,NB
499,NB
