,Actual,Predicted
0,5,4
1,5,3
2,5,3
3,3,3
4,4,3
5,3,3
6,3,3
7,5,3
8,4,4
9,3,3
10,4,3
11,4,2
12,3,3
13,3,3
14,3,3
15,5,4
16,4,3
17,3,3
18,5,3
19,4,3
20,3,3
21,3,3
22,5,4
23,3,3
24,4,4
25,4,4
26,3,3
27,4,4
28,4,4
29,4,4
30,5,3
31,3,3
32,4,4
33,5,4
34,4,3
35,5,2
36,3,2
37,3,3
38,4,3
39,5,4
40,4,4
41,4,4
42,3,2
43,5,3
44,5,3
45,3,3
46,5,4
47,3,3
48,4,4
49,3,3
50,4,4
51,4,3
52,3,2
53,3,3
54,5,3
55,4,3
56,4,4
57,4,3
58,2,2
59,4,4
60,3,3
61,4,3
62,4,4
63,5,4
64,5,5
65,5,3
66,3,3
67,5,4
68,3,2
69,4,3
70,4,4
71,5,3
72,5,4
73,3,3
74,4,3
75,4,3
76,4,3
77,5,3
78,4,3
79,4,4
80,4,3
81,4,3
82,4,3
83,4,4
84,4,4
85,5,3
86,3,3
87,3,3
88,4,4
89,5,4
90,4,3
91,4,3
92,4,3
93,4,4
94,4,4
95,5,3
96,4,4
97,4,4
98,5,3
99,5,4
