,Actual,Minimum_value,Predicted
0,1,-179.821,1
1,2,-175.595,1
2,1,-186.054,1
3,1,-190.243,1
4,1,-184.567,1
5,1,-226.488,1
6,1,-186.424,1
7,1,-197.526,1
8,1,-179.247,1
9,1,-184.179,1
10,1,-186.899,1
11,1,-167.305,1
12,1,-190.943,1
13,2,-189.728,1
14,1,-180.024,1
15,1,-197.647,1
16,1,-178.295,1
17,1,-185.092,1
18,1,-185.234,1
19,1,-181.169,1
20,1,-216.307,1
21,1,-206.461,1
22,1,-184.495,1
23,1,-187.401,1
24,1,-181.959,1
25,1,-186.234,1
26,1,-201.502,1
27,1,-168.213,1
28,1,-185.616,1
29,1,-184.922,1
30,1,-186.444,1
31,1,-182.47,1
32,1,-187.454,1
33,1,-210.607,1
34,1,-193.323,1
35,1,-178.927,1
36,1,-197.281,1
37,1,-197.7,1
38,1,-199.483,1
39,1,-228.852,1
40,1,-190.785,1
41,1,-222.77,1
42,2,-177.483,1
43,1,-181.066,1
44,1,-211.839,1
45,1,-183.855,1
46,1,-179.661,1
47,1,-167.447,1
48,1,-172.28,1
49,1,-179.554,1
50,1,-199.401,1
51,1,-181.122,1
52,1,-190.03,1
53,1,-186.204,1
54,1,-182.761,1
55,2,-204.652,1
56,2,-163.951,1
57,1,-172.126,1
58,1,-177.716,1
59,1,-188.026,1
60,1,-180.775,1
61,2,-188.034,1
62,1,-193.281,1
63,1,-178.45,1
64,1,-177.668,1
65,1,-207.091,1
66,1,-179.693,1
67,1,-188.028,1
68,1,-186.289,1
69,1,-190.753,1
70,1,-174.608,1
71,1,-157.418,1
72,1,-195.662,1
73,1,-196.982,1
74,1,-177.92,1
75,1,-199.742,1
76,1,-237.844,1
77,1,-215.922,1
78,1,-211.669,1
79,1,-196.356,1
80,1,-180.161,1
81,1,-197.625,1
82,1,-201.063,1
83,1,-182.273,1
84,1,-198.062,1
85,1,-199.937,1
86,1,-175.844,1
87,1,-196.581,1
88,1,-178.748,1
89,1,-192.537,1
