,Actual,Predicted
0,5,3
1,5,3
2,4,3
3,5,4
4,5,3
5,5,4
6,5,4
7,5,4
8,5,4
9,5,4
10,5,5
11,5,4
12,5,4
13,5,3
14,5,4
15,5,3
16,5,3
17,5,4
18,4,4
19,5,3
20,4,3
21,4,3
22,5,3
23,5,4
24,5,3
25,5,3
26,4,3
27,5,4
28,5,4
29,4,4
30,5,3
31,4,3
32,5,4
33,5,3
34,4,3
35,4,4
36,5,4
37,5,3
38,4,3
39,5,4
40,5,3
41,5,4
42,5,3
43,5,4
44,5,5
45,5,4
46,5,4
47,5,4
48,5,2
49,5,5
50,5,4
51,5,4
52,3,3
53,4,4
54,5,5
55,5,3
56,4,3
57,5,3
58,4,3
59,5,3
60,4,4
61,5,2
62,5,2
63,5,4
64,5,5
65,4,3
66,5,4
67,4,3
68,5,4
69,5,4
70,4,3
71,4,3
72,5,4
73,5,3
74,5,4
75,4,4
76,5,4
77,4,3
78,5,3
79,4,3
80,5,3
81,4,3
82,5,3
83,5,3
84,5,4
85,5,3
86,5,4
87,5,4
88,4,2
89,5,4
90,5,3
91,4,3
92,4,3
93,5,4
94,5,3
95,4,4
96,5,4
97,5,3
98,5,3
99,4,2
