,AIC,BIC,Functions_evaluated,Chi-squared,R_Squared,Coef,Mu
1,-198.527,-196.535,12.0,0.001,0.980371328606313,0.99528596,9.72972209
2,-326.749,-323.881,15.0,0.001,0.9772624190339023,1.01557435,20.2068337
3,-381.432,-378.157,12.0,0.001,0.9405393555524391,1.00254802,30.391879
4,-506.396,-502.696,15.0,0.001,0.9591650471193505,0.97031314,39.8347687
5,-516.472,-512.688,15.0,0.001,0.9369445595770102,0.98008049,49.588995
