,1,1_val,2,2_val,3,3_val,4,4_val,5,5_val
0,1.0,0.0005760811968888752,6.0,0.0001609357175922632,11.0,3.245317428424662e-05,18.0,4.844757475690987e-05,27.0,0.00015611884738661803
1,2.0,0.002802554975312302,7.0,0.00046457161299253547,12.0,8.21927455524269e-05,19.0,0.00010157357566132166,28.0,0.00027649202675242155
2,3.0,0.009089360356450844,8.0,0.0011734401689942448,13.0,0.0001921532291590968,20.0,0.00020230799494451234,29.0,0.00047279178427128156
3,4.0,0.022109237575316534,9.0,0.002634612268737073,14.0,0.00041713554955086733,21.0,0.0003837567713096115,30.0,0.0007815089815426131
4,5.0,0.04302334747371898,10.0,0.005323717212847981,15.0,0.0008451688770980766,22.0,0.0006948573748326264,31.0,0.0012501369358466283
5,6.0,0.06976753576187274,11.0,0.00977958806265564,16.0,0.0016053918914614466,23.0,0.0012034557760720736,32.0,0.0019372823223100153
6,7.0,0.09697410490081712,12.0,0.01646787584948882,17.0,0.002870051537845244,24.0,0.001997474273175597,33.0,0.0029111479841395717
7,8.0,0.11794138640263009,13.0,0.02559720227855911,18.0,0.004845903284248218,25.0,0.003182757031272164,34.0,0.004245908910381174
8,9.0,0.12750410148314237,14.0,0.03694560079190913,19.0,0.0077513740185586825,26.0,0.004876322706509238,35.0,0.006015724454486856
9,10.0,0.12405794735676272,15.0,0.049770240883599666,20.0,0.01177894107015009,27.0,0.007194340275077883,36.0,0.008286492504152965
10,11.0,0.1097317592379077,16.0,0.06285618647374591,21.0,0.01704686437980241,28.0,0.010235174330692376,37.0,0.011105914478559036
11,12.0,0.08897162687678473,17.0,0.07471320651017387,22.0,0.02354937454018831,29.0,0.014059165610729975,38.0,0.014492924684675739
12,13.0,0.06658993876658231,18.0,0.08387318574457137,23.0,0.031117814869493863,30.0,0.018668120370094327,39.0,0.018427937700951972
13,14.0,0.04627868561482485,19.0,0.08920060636890373,24.0,0.039405369368711876,31.0,0.023988395425186874,40.0,0.022845572782316942
14,15.0,0.030018583334242416,20.0,0.09012309119592928,25.0,0.04790412874210584,32.0,0.02986163077360875,41.0,0.02763143891320268
15,16.0,0.018254529597898892,21.0,0.08671915816483954,26.0,0.0559960186630903,33.0,0.0360463986893928,42.0,0.032624173506643254
16,17.0,0.01044773529329321,22.0,0.07965089148102211,27.0,0.06303052684273817,34.0,0.04223235166257353,43.0,0.037623255308853014
17,18.0,0.005647420052183488,23.0,0.0699779270761986,28.0,0.0684148623681392,35.0,0.048066170365496576,44.0,0.04240225956788014
18,19.0,0.0028919909299336037,24.0,0.05891801412862847,29.0,0.07169849035150266,36.0,0.053186243939665465,45.0,0.04672634309988177
19,20.0,0.0014069134026616912,25.0,0.047621860671552704,30.0,0.07263506148691022,37.0,0.057261127802814074,46.0,0.05037200861578148
20,,,26.0,0.037011039299550276,31.0,0.07121019358862338,38.0,0.060025889082323466,47.0,0.05314675075573608
21,,,27.0,0.027699108085155934,32.0,0.06763161213951653,39.0,0.06131070285595381,48.0,0.05490612416128623
22,,,28.0,0.01998968829619513,33.0,0.0622864173940487,40.0,0.061057441773952885,49.0,0.05556611262912496
23,,,29.0,0.013928562353625669,34.0,0.055676507704897245,41.0,0.059322172544391955,50.0,0.05510935367373281
24,,,30.0,0.009381738131783187,35.0,0.04834610532477935,42.0,0.05626392918616795,51.0,0.05358465619827812
25,,,31.0,0.006115329767112831,36.0,0.04081469400194922,43.0,0.052122339740080216,52.0,0.05110017789540065
26,,,32.0,0.0038616078741619936,37.0,0.033525276819040925,44.0,0.04718821252108618,53.0,0.04781144279842888
27,,,33.0,0.0023645717681166434,38.0,0.026813056767435114,45.0,0.04177181186916085,54.0,0.04390595184995293
28,,,34.0,0.0014053090771997442,39.0,0.020894850702699436,46.0,0.036173271013385765,55.0,0.03958640052028516
29,,,35.0,0.0008113384828615873,40.0,0.01587584436690919,47.0,0.03065859332374661,56.0,0.0350544610561391
30,,,36.0,0.0004554050512174248,41.0,0.011768213203011626,48.0,0.025443291159321587,57.0,0.030496763079370395
31,,,,,42.0,0.008515669331801031,49.0,0.020684237140793777,58.0,0.02607420401982272
32,,,,,43.0,0.0060187719092522065,50.0,0.016479036070812355,59.0,0.021915145319855122
33,,,,,44.0,0.0041573133570207395,51.0,0.012871344927771993,60.0,0.018112500543633225
34,,,,,45.0,0.0028077458797913634,52.0,0.009860135555104073,61.0,0.014724273764954963
35,,,,,46.0,0.001855058110754363,53.0,0.00741087207185794,62.0,0.01177680546342193
36,,,,,47.0,0.0011995468441542004,54.0,0.005466858802109958,63.0,0.009269840440317338
37,,,,,48.0,0.0007595100534406197,55.0,0.003959473749845616,64.0,0.0071825323693437484
38,,,,,,,56.0,0.002816512879426733,65.0,0.005479608646995469
39,,,,,,,57.0,0.0019683357766616103,66.0,0.004117095242874433
40,,,,,,,58.0,0.0013518655260529378,67.0,0.003047203217726111
41,,,,,,,59.0,0.0009127330615061642,68.0,0.002222172724364182
42,,,,,,,60.0,0.0006059751741226047,69.0,0.0015970335103141493
43,,,,,,,61.0,0.0003957193596268146,70.0,0.0011313612403627674
44,,,,,,,62.0,0.0002542482126732232,71.0,0.000790184041400272
45,,,,,,,63.0,0.00016076061524158947,72.0,0.0005442282293266426
46,,,,,,,64.0,0.00010006034272392318,73.0,0.00036969494473931884
47,,,,,,,,,74.0,0.00024774055110608485
48,,,,,,,,,75.0,0.00016380273280774903
