,AIC,BIC,Functions_evaluated,Chi-squared,N,N_err,P,P_err
1,-284.912,-282.556,347.0,0.0,9.98044068,0.037057,0.0111419,0.019446
2,-472.798,-469.631,23.0,0.0,20.0837874,0.034027,0.00385155,0.01059
3,-586.216,-582.647,202.0,0.0,30.0803964,0.041922,0.00287591,0.009661
4,-674.65,-670.826,167.0,0.0,40.105892,0.047902,0.00328885,0.013722
5,-722.887,-718.872,111.0,0.0,50.0334692,0.067566,0.00333644,0.014128
