,1,Actual_1,1_val,2,Actual_2,2_val,3,Actual_3,3_val,4,Actual_4,4_val,5,Actual_5,5_val
0,0.0,0.0,0.13615321065565533,0.0,0.0,0.019361518192346872,0.0,0.0,0.002534342748229561,0.0,0.0,0.00033873206337741346,0.0,0.0,4.404472663171218e-05
1,1.0,0.4112,0.27148602719789766,1.0,0.0955,0.076370884704484,1.0,0.0194,0.015149847165903204,1.0,0.0038,0.002706571191011341,1.0,0.0004,0.0004417820384979363
2,2.0,0.2621,0.2706681047357152,2.0,0.1518,0.15062124706860638,2.0,0.0459,0.04528153686208423,2.0,0.0115,0.010813159431929072,2.0,0.0024,0.002215604278479828
3,3.0,0.1851,0.17990176431884616,3.0,0.1906,0.19804021874119734,3.0,0.0915,0.0902283065141866,3.0,0.0304,0.028800133366435134,3.0,0.0081,0.007407728836160087
4,4.0,0.0883,0.08967988166716682,4.0,0.1893,0.19529081555072889,4.0,0.1381,0.13484216516127454,4.0,0.0593,0.057530434593098104,4.0,0.0189,0.018575444758933277
5,5.0,0.0358,0.03576387905382886,5.0,0.1564,0.15406366598012675,5.0,0.1541,0.16121246387371033,5.0,0.0928,0.09193709938379827,5.0,0.0401,0.03726347501359592
6,6.0,0.0128,0.011885377013578837,6.0,0.1063,0.10128319445156926,6.0,0.1571,0.16061654056274044,6.0,0.1229,0.12243418495052286,6.0,0.0613,0.06229400283139463
7,7.0,0.0035,0.003385591204441427,7.0,0.058,0.05707261389848866,7.0,0.1358,0.1371624172179481,7.0,0.1347,0.13975514388146829,7.0,0.0901,0.08926112049419434
8,8.0,0.0011,0.0008438478069886869,8.0,0.0292,0.02814013583880451,8.0,0.106,0.10249154633925324,8.0,0.1357,0.13958571062542677,8.0,0.1091,0.11191453207403546
9,9.0,0.0001,0.00018695677675319202,9.0,0.0139,0.012333095463805913,9.0,0.0667,0.06807512361588643,9.0,0.1228,0.12392576247389861,9.0,0.1226,0.12472632026133769
10,,,,10.0,0.0059,0.004864749769922598,10.0,0.0415,0.04069408998846396,10.0,0.101,0.09902041607506508,10.0,0.1305,0.1251043024517876
11,,,,11.0,0.0022,0.0017444407937248071,11.0,0.0222,0.022114725775509967,11.0,0.0724,0.07192754028294059,11.0,0.1099,0.11407584555860721
12,,,,12.0,0.0007,0.0005734075422522754,12.0,0.0121,0.011016489247191927,12.0,0.0467,0.047893558906371536,12.0,0.098,0.09535129297024572
13,,,,13.0,0.0002,0.00017398365968468722,13.0,0.0056,0.00506573847526422,13.0,0.0308,0.029437227551227345,13.0,0.0737,0.07356942642915025
14,,,,,,,14.0,0.0027,0.002163005540484126,14.0,0.0164,0.01680087948294753,14.0,0.0515,0.05270884145103911
15,,,,,,,15.0,0.0009,0.0008620039884825676,15.0,0.0094,0.008949605761911346,15.0,0.0356,0.03524571680330474
16,,,,,,,16.0,0.0004,0.00032205659364328306,16.0,0.0054,0.004469377818226623,16.0,0.0208,0.02209533042951424
17,,,,,,,,,,17.0,0.0026,0.002100686744760171,17.0,0.0134,0.013036641273442855
18,,,,,,,,,,18.0,0.0008,0.0009325066491290098,18.0,0.0066,0.007264527065743099
19,,,,,,,,,,19.0,0.0005,0.000392158365180705,19.0,0.0036,0.0038350221901320746
20,,,,,,,,,,20.0,0.0001,0.00015667317155175687,20.0,0.0023,0.0019233220982480925
21,,,,,,,,,,,,,21.0,0.0006,0.0009186431960153729
22,,,,,,,,,,,,,22.0,0.0003,0.00041883051700999756
23,,,,,,,,,,,,,23.0,0.0002,0.00018265207817044437
