,AIC,BIC,Functions_evaluated,Chi-squared,N,N_err,P,P_err
1,-53.716,-53.11,176.0,0.031,1.99397447,0.273232,0.30613646,0.195068
2,-131.579,-130.301,402.0,0.001,3.94446778,0.059359,0.00059216,0.018192
3,-197.619,-195.952,300.0,0.0,5.97782094,0.027243,0.00090218,0.012445
4,-263.786,-261.697,309.0,0.0,7.99030113,0.02152,0.00103962,0.005712
5,-298.396,-296.04,91.0,0.0,10.0303049,0.027811,0.00316712,0.014766
