,Better_Model
0,P
1,P
2,P
3,NB
4,NB
5,P
6,P
7,P
8,NB
9,NB
10,NB
11,P
12,NB
13,P
14,P
15,P
16,P
17,P
18,P
19,P
20,NB
21,P
22,P
23,P
24,P
25,P
26,P
27,NB
28,P
29,P
30,P
31,P
32,P
33,NB
34,P
35,P
36,NB
37,NB
38,P
39,P
40,P
41,NB
42,P
43,P
44,NB
45,P
46,P
47,P
48,P
49,NB
50,P
51,NB
52,P
53,P
54,P
55,NB
56,NB
57,NB
58,NB
59,NB
60,P
61,P
62,P
63,P
64,P
65,P
66,NB
67,NB
68,P
69,NB
70,P
71,P
72,P
73,P
74,P
75,P
76,P
77,P
78,NB
79,P
80,NB
81,P
82,P
83,P
84,P
85,P
86,P
87,NB
88,P
89,P
90,NB
91,P
92,P
93,P
94,NB
95,P
96,P
97,P
98,P
99,P
