,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
58,3,0.34667263,0.50706764,0.14625972999999992,0,0,-227.406,2.4374296,6.18413256,10.4397076,0,0,4
59,2,0.40372231,0.59627769,0.0,0,0,-165.597,2.51119003,5.5608091,0.0,0,0,3
60,2,0.37168402,0.62831598,0.0,0,0,-243.522,2.57587114,8.35174892,0.0,0,0,4
61,2,0.26289908,0.73710092,0.0,0,0,-234.271,2.28715349,8.09965412,0.0,0,0,4
62,2,0.57824966,0.42175034,0.0,0,0,-191.001,2.30633233,8.48049779,0.0,0,0,4
63,2,0.47632007,0.52367993,0.0,0,0,-344.48,6.14743875,9.6850348,0.0,0,0,3
64,3,0.07860826,0.55266609,0.36872565,0,0,-336.024,4.4527704,6.99619681,10.2167273,0,0,3
65,2,0.25091462,0.74908538,0.0,0,0,-226.643,2.20337036,7.05666866,0.0,0,0,3
66,2,0.5939276,0.4060724,0.0,0,0,-240.703,3.95506693,7.9300432,0.0,0,0,2
67,2,0.57325692,0.42674308000000005,0.0,0,0,-174.188,2.30514825,6.76572532,0.0,0,0,4
68,2,0.7190994,0.28090059999999994,0.0,0,0,-189.075,2.50726162,8.04270339,0.0,0,0,3
69,2,0.44687399,0.55312601,0.0,0,0,-373.155,6.71855474,9.75161793,0.0,0,0,3
70,2,0.41330408,0.5866959199999999,0.0,0,0,-249.456,2.70406756,7.92951042,0.0,0,0,5
71,3,0.43159437,0.40833418,0.16007145,0,0,-232.342,2.55909465,5.65538918,10.2804705,0,0,4
72,2,0.28828451,0.71171549,0.0,0,0,-275.976,4.26836892,7.78356437,0.0,0,0,3
73,2,0.39558934,0.60441066,0.0,0,0,-219.854,3.87670061,5.97697056,0.0,0,0,2
74,2,0.51065974,0.48934025999999997,0.0,0,0,-351.268,6.07949993,9.10507945,0.0,0,0,3
75,2,0.37053338,0.62946662,0.0,0,0,-234.302,2.58467565,9.66393577,0.0,0,0,3
76,2,0.48230622,0.51769378,0.0,0,0,-221.51,2.19220705,8.96670485,0.0,0,0,3
