,Better_Model
0,NB
1,P
2,P
3,NB
4,NB
5,P
6,NB
7,NB
8,NB
9,P
10,P
11,P
12,NB
13,P
14,P
15,P
16,NB
17,NB
18,NB
19,NB
20,P
21,NB
22,NB
23,P
24,NB
25,P
26,P
27,NB
28,P
29,P
30,P
31,P
32,NB
33,NB
34,NB
35,NB
36,P
37,P
38,NB
39,NB
40,P
41,P
42,NB
43,P
44,NB
45,P
46,NB
47,P
48,P
49,P
50,P
51,P
52,P
53,P
54,NB
55,P
56,P
57,NB
58,NB
59,NB
60,P
61,NB
62,P
63,P
64,P
65,NB
66,NB
67,NB
68,NB
69,NB
70,P
71,NB
72,P
73,P
74,NB
75,P
76,P
77,NB
78,NB
79,NB
80,NB
81,NB
82,NB
83,P
84,P
85,P
86,NB
87,NB
88,P
89,P
90,P
91,P
92,P
93,NB
94,P
95,NB
96,P
97,P
98,NB
99,P
