,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
0,4,0.18376011,0.26702911,0.21548877,0.3337220099999999,0.0,-2009.467,74.16558481928378,95.96011488964061,108.66723579667436,126.9298654606897,0.0,3
1,3,0.39871362,0.2036993,0.39758708,0.0,0.0,-1505.476,25.053299525466947,50.094126350682025,75.08475489074361,0.0,0.0,3
2,3,0.21965521,0.38007128,0.40027351,0.0,0.0,-1849.136,47.83548740108809,51.445978825377566,100.1974106942475,0.0,0.0,2
3,4,0.19929334,0.39660429,0.20393824,0.20016413,0.0,-2703.007,24.953094943708503,49.87198854564052,74.8502348512009,125.12943393528371,0.0,4
4,4,0.20017485,0.20158061,0.18972017,0.4085243700000001,0.0,-2569.76,25.005211349911974,75.11611283615774,99.61376896987754,124.68406503059089,0.0,4
5,5,0.39080731,0.01069666,0.19740904,0.1947161,0.20637088999999992,-2564.81,24.80128653081541,33.07107488018244,74.88289066594477,99.48276308286628,124.51264684891349,4
6,4,0.19842051,0.17464885,0.24135101,0.38557962999999995,0.0,-2172.408,50.050317422376686,98.77828006492135,118.67328763703249,128.31089305299847,0.0,3
7,3,0.20138896,0.20415615,0.59445489,0.0,0.0,-1841.783,50.05839066892737,75.08963780166353,100.03941972708347,0.0,0.0,3
8,4,0.19979001,0.20293102,0.18183781,0.4154411600000001,0.0,-2649.358,25.01486861328677,75.13145479080086,99.41100225880918,124.46042052899651,0.0,4
9,4,0.39792023,0.19972256,0.20078606,0.20157115000000003,0.0,-2493.493,25.074357556092302,50.00249790191208,75.00782091580257,125.2183949363161,0.0,4
10,4,0.20011387,0.39941675,0.19306825,0.20740113,0.0,-2542.016,24.94861276017002,49.92306138189368,99.65187905390457,124.5887086538296,0.0,4
11,5,0.39883433,0.001,0.2065303,0.19654577,0.19708959999999998,-2649.282,25.03680623762713,25.034217444755,75.32155116121777,100.42392750142454,125.22292229290494,4
12,3,0.19846668,0.20099934,0.60053398,0.0,0.0,-1561.067,25.01865748388686,50.05081635422294,75.07438207945891,0.0,0.0,3
13,4,0.19194646,0.13393669,0.15959088,0.51452597,0.0,-1923.83,74.58553608892643,95.8605289283588,110.83198609243044,126.46191703206738,0.0,3
14,5,0.18770394,0.03028604,0.38163847,0.05709985,0.34327169999999996,-2287.403,49.4175721072235,61.29873080439998,75.30779313914448,116.30113006022333,126.14563134789296,3
15,4,0.20098097,0.19984156,0.19882209,0.40035538,0.0,-2107.231,25.118380818239068,50.12804801563302,75.11975164932271,100.1151209396416,0.0,4
16,4,0.39892283,0.19730175,0.00366519,0.40011022999999996,0.0,-2551.75,25.091162758631153,49.94185405724019,63.92807515995228,125.16818587776682,0.0,3
17,4,0.19949497,0.39549235,0.20306461,0.20194807000000006,0.0,-2522.196,25.012014593956458,74.92354317659554,99.57440052294585,124.86251512632435,0.0,4
18,4,0.19978087,0.2028544,0.39067075,0.20669398,0.0,-2073.688,25.018649964328244,50.231601966463884,74.95243877810216,99.73133123379769,0.0,4
19,5,0.00892869,0.39125385,0.08715675,0.32543817,0.18722254,-2480.336,19.209844087012772,25.175187862551446,94.47893317669069,101.93924291924588,126.01582267172498,3
20,4,0.40004214,0.19946085,0.19829921,0.20219779999999993,0.0,-2107.228,24.985350249643183,50.014497421465265,74.83763754512947,99.90411596785574,0.0,4
21,3,0.19823933,0.16534214,0.6364185299999999,0.0,0.0,-1105.896,25.025467158904164,46.83306233205635,50.90934754679368,0.0,0.0,2
22,4,0.2023431,0.39775543,0.21229182,0.18760965,0.0,-2358.422,50.15287170530024,75.1583512922978,100.8245960644237,125.90580952041073,0.0,4
23,4,0.20030294,0.19922116,0.20066158,0.39981431999999995,0.0,-2624.891,24.847678644043725,49.720295064457545,74.66430287582484,124.66037558105131,0.0,4
24,4,0.40612509,0.20041496,0.19779511,0.19566484,0.0,-2434.399,50.13959560405779,75.70656966802164,100.53462302220174,125.27409058091318,0.0,4
25,4,0.19696808,0.3996372,0.23287752,0.17051719999999998,0.0,-2276.758,49.7807801148087,74.91060249721421,101.64194843533967,126.6732035425204,0.0,4
26,4,0.39938178,0.19920917,0.1899512,0.21145785,0.0,-2584.563,24.973266182160774,50.01941143082327,121.49867928757676,128.10194422565243,0.0,3
27,4,0.20329587,0.19471411,0.43981725,0.1621727699999999,0.0,-2321.4,50.184397395252034,75.29965740025311,101.20406248162146,127.29430364210837,0.0,4
28,4,0.39083675,0.14060833,0.10423135,0.36432356999999993,0.0,-1740.149,49.732111142411036,71.52353679577307,83.65325728843453,100.97004703991097,0.0,3
29,4,0.20016405,0.19967109,0.19008684,0.41007802000000004,0.0,-2491.675,25.036199236549656,75.06789201391177,99.47887239431927,124.69782776609838,0.0,4
30,5,0.13287016,0.42707956,0.04309389,0.1981584,0.19879798999999998,-2444.512,22.889948798073135,25.489084512025485,25.472303015387286,75.01945561861393,125.02492182400876,3
31,4,0.20062512,0.39544152,0.19723919,0.20669417,0.0,-2164.914,24.94268393937212,49.84246792084978,74.3435328208627,99.43699847777621,0.0,4
32,4,0.20033315,0.19842006,0.05936828,0.54187851,0.0,-2699.078,25.00467491049168,74.93112615245627,114.26766241694871,125.97100272543601,0.0,3
33,4,0.39941298,0.19776265,0.20286689,0.19995748000000005,0.0,-2591.99,24.93529996449945,49.75649377832873,74.67860253813775,124.91089918832532,0.0,4
34,4,0.04548837,0.35979011,0.19533791,0.39938361,0.0,-2280.316,45.06237420642666,50.80630604687201,75.37122809635852,124.99980774460097,0.0,3
35,4,0.19233037,0.17979546,0.24256381,0.38531036,0.0,-1972.278,74.2903028407407,97.71341084864653,118.54261225477006,127.47170055234515,0.0,3
36,3,0.40135065,0.400029,0.19862035000000006,0.0,0.0,-2660.853,24.988935068828493,74.9942603981249,124.9770139940988,0.0,0.0,3
37,3,0.40196083,0.39632505,0.20171412000000005,0.0,0.0,-1660.728,25.15214214744171,50.13984396052362,74.95386527852202,0.0,0.0,3
38,4,0.19544612,0.18380807,0.23957744,0.38116837000000003,0.0,-1885.491,74.88646704035125,98.74551361279639,118.9642397612747,128.12136952641455,0.0,3
39,4,0.3846661,0.15332313,0.11628613,0.34572464,0.0,-1904.805,74.74468602098308,96.07083408128909,111.04827796130975,126.61747283233854,0.0,3
40,4,0.19999394,0.40625973,0.20043846,0.19330786999999997,0.0,-1957.781,25.035457280648274,50.19105529603795,75.697046811762,100.43362888122162,0.0,4
41,4,0.19861852,0.2047574,0.38044159,0.21618249,0.0,-2084.89,24.92655855296429,50.04052883605231,74.69903731268498,99.07918487132845,0.0,4
42,4,0.20049039,0.16927443,0.66370943,-0.03347425000000004,0.0,-2562.967,24.952567464189737,98.22892662152233,124.97944454830052,142.31887349464589,0.0,3
43,4,0.19846767,0.26871701,0.35563143,0.17718389000000007,0.0,-2207.277,50.00505832341671,96.38644461739037,103.54952524324196,126.5783836029875,0.0,3
44,4,0.19977051,0.20040388,0.23666763,0.36315798,0.0,-2701.522,24.959575869938437,49.93146463835016,101.9752064447581,126.0309081426533,0.0,4
45,3,0.40002892,0.39943815,0.20053293,0.0,0.0,-1577.751,25.00167749253069,49.91804205341793,74.91625103229123,0.0,0.0,3
46,4,0.01493586,0.39189044,0.40009381,0.19307988999999992,0.0,-2225.332,63.80010909382287,75.55309764072317,100.53276022499116,125.78848799205926,0.0,3
47,5,0.02252521,0.3788816,0.20899747,0.19803534,0.19156038000000009,-2472.087,20.6578002636416,25.359524128315783,75.75555424319006,101.19219596354932,125.83334398569082,4
