,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
0,5,0.19929904,0.19053569,0.18630178,0.21860972,0.20525377,-1210.049,9.95201194,19.7687156,29.0528623,39.1417265,50.0637945,5
1,4,0.20016557,0.65310561,0.97112885,-0.8244000300000001,0.0,-1111.899,10.0307225,49.0635449,56.5769762,57.0473666,0.0,2
2,4,0.40319772,0.20034197,0.19902218,0.19743813000000004,0.0,-1219.645,10.0664672,20.2460246,30.327212,50.1651102,0.0,4
3,5,0.19978642,0.19677426,0.05417427,0.38179403,0.16747102000000003,-1265.662,9.98736493,19.8985695,35.5133341,41.001862,50.9665737,4
4,3,0.4098055,0.41011346,0.18008103999999997,0.0,0.0,-1055.08,30.0227538,40.4954181,50.6137481,0.0,0.0,3
5,4,0.39714169,0.19301118,0.20980565,0.20004148,0.0,-1191.8,10.0033118,19.5609,29.6001224,49.7461047,0.0,4
6,4,0.39984694,0.19632498,0.22651906,0.17730902000000004,0.0,-1191.83,10.0214991,29.9218701,48.4421355,52.0165989,0.0,3
7,4,0.20032194,0.20086008,0.39959716,0.19922081999999997,0.0,-1224.81,10.014539,20.0399274,30.055418,50.0290359,0.0,4
8,2,0.79897711,0.20102288999999995,0.0,0.0,0.0,-710.175,10.000252,29.9544445,0.0,0.0,0.0,2
9,5,0.20059106,0.20583007,0.21061274,0.20449707,0.17846906,-1194.742,9.97676831,20.1794074,30.5931532,41.0887835,50.6341683,5
10,4,0.39430111,0.21414995,0.19394998,0.19759895999999996,0.0,-957.013,9.95371898,18.8216559,21.2197673,39.937201,0.0,3
11,3,0.60098558,0.19976069,0.19925373,0.0,0.0,-1380.765,9.969215,20.0224599,50.0044046,0.0,0.0,3
12,3,0.19873478,0.39999708,0.40126814,0.0,0.0,-902.927,19.9933035,29.9891858,40.1324657,0.0,0.0,3
13,4,0.03929988,0.39461951,0.39595484,0.17012577,0.0,-949.199,16.6596028,20.6723944,30.8070109,40.8642187,0.0,3
14,3,0.19971648,0.57595944,0.22432408000000004,0.0,0.0,-1123.992,10.0087217,39.6100431,49.4618291,0.0,0.0,3
15,4,0.37983093,0.22468893,0.19384515,0.20163499,0.0,-1153.109,10.01069,10.0106259,40.006641,49.9103904,0.0,3
16,4,0.20024488,0.2030146,0.40136959,0.19537093,0.0,-1227.556,10.0757879,30.0846924,40.2155532,50.3696145,0.0,4
17,4,0.19763066,0.19744831,0.20676251,0.39815852000000007,0.0,-1053.729,9.96838988,19.8537007,29.8484357,40.0635134,0.0,4
18,5,0.19704134,0.38255564,0.18203976,0.04522345,0.19313981000000008,-1161.909,9.88716117,19.718919,28.4916353,34.8247778,50.3746433,4
19,4,0.19948605,0.37688151,0.22054488,0.20308756000000006,0.0,-1191.761,10.0283267,29.7709232,39.2783414,50.2010638,0.0,4
20,4,0.20010159,0.3947386,0.01964296,0.38551684999999997,0.0,-929.639,10.0012072,19.9477339,31.1285371,40.3047922,0.0,3
21,3,0.39765949,0.2021113,0.40022921,0.0,0.0,-828.371,9.9806845,19.9082687,30.0483302,0.0,0.0,3
22,4,0.30821609,0.11226585,0.39441932,0.18509874000000004,0.0,-806.415,9.58080991,12.0790307,20.4345507,30.3360464,0.0,3
23,3,0.40405248,0.40566588,0.19028163999999997,0.0,0.0,-975.108,19.8112832,30.06693,40.1001018,0.0,0.0,3
24,3,0.20619931,0.3962035,0.39759719,0.0,0.0,-1042.897,10.1159066,20.0940729,39.9768271,0.0,0.0,3
25,5,0.13178996,0.07631634,0.40160323,0.19306972,0.19722075000000006,-1192.325,9.41328137,11.6397632,20.1763538,30.2488892,50.0268758,4
26,3,0.19715053,0.39578666,0.40706280999999994,0.0,0.0,-1044.964,29.8675777,39.76178,49.9237888,0.0,0.0,3
27,4,0.27198984,0.16322035,0.37916334,0.18562646999999993,0.0,-971.205,19.3746394,22.2582891,30.6283042,40.3517493,0.0,3
28,3,0.19950617,0.21408075,0.58641308,0.0,0.0,-991.606,9.9013853,30.207028,40.13428,0.0,0.0,3
29,3,0.5987442,0.19980232,0.20145348000000005,0.0,0.0,-962.674,9.9885941,29.913349,39.9650435,0.0,0.0,3
30,3,0.06792052,0.73487508,0.19720439999999995,0.0,0.0,-1064.031,17.2238096,20.1948917,49.9942157,0.0,0.0,2
31,3,0.19965589,0.77663462,0.02370948999999989,0.0,0.0,-896.801,9.99675075,39.7161883,46.5498586,0.0,0.0,2
32,3,0.19991962,0.00939746,0.7906829200000001,0.0,0.0,-1138.49,10.0151629,36.3991548,50.0134947,0.0,0.0,2
33,3,0.3983575,0.38583907,0.21580343000000007,0.0,0.0,-1127.927,19.9174818,39.6572187,49.6350476,0.0,0.0,3
34,5,0.19877661,0.19097019,0.18735529,0.21337745,0.20952045999999994,-1223.15,9.98043333,19.7515064,29.169489,39.020619,49.9990687,5
35,2,0.79815037,0.20184963,0.0,0.0,0.0,-820.008,29.8361854,40.0960993,0.0,0.0,0.0,2
36,3,0.40078132,0.20070657,0.39851211,0.0,0.0,-1159.911,9.98408271,20.0071813,49.9239858,0.0,0.0,3
37,4,0.19549832,0.20226894,0.22140684,0.38082590000000005,0.0,-1163.302,19.9771449,29.8254736,40.4078462,50.4626335,0.0,4
38,3,0.39928121,0.40366474,0.19705404999999993,0.0,0.0,-710.998,10.0013548,20.029395,30.20792,0.0,0.0,3
39,3,0.40035413,0.37910271,0.22054316000000002,0.0,0.0,-1158.188,9.97212112,39.6704927,49.6691704,0.0,0.0,3
40,5,0.00822679,0.41480533,0.2239413,0.18714315,0.16588342999999997,-1093.566,13.4736814,20.3744089,31.7438237,42.2874134,50.7687731,4
41,3,0.39461719,0.40298783,0.20239498000000006,0.0,0.0,-1053.542,29.8515716,39.8274857,50.1840302,0.0,0.0,3
42,4,0.19895268,0.19667072,0.22126421,0.3831123900000001,0.0,-1184.041,9.95214642,29.7365697,40.1621835,50.2750524,0.0,4
43,3,0.19735715,0.22823414,0.57440871,0.0,0.0,-1036.424,29.8656641,40.3684121,50.3120293,0.0,0.0,3
44,5,0.19895956,0.19870835,0.20039329,0.02617578,0.37576302,-1241.647,9.92684289,19.9058756,29.880572,55.7265214,49.5589891,4
45,3,0.39927686,0.40013974,0.2005833999999999,0.0,0.0,-1097.419,19.9697619,29.9658728,49.8957078,0.0,0.0,3
46,3,0.20020702,0.60019326,0.19959972000000004,0.0,0.0,-1367.876,10.009615,30.0698886,50.1344907,0.0,0.0,3
47,4,0.19845802,0.07067175,0.39348042,0.33738980999999996,0.0,-1194.477,9.9512672,35.9618023,41.6665264,51.0877968,0.0,3
48,3,0.20269353,0.61071668,0.18658978999999998,0.0,0.0,-1021.978,30.0285229,40.1187247,50.4556259,0.0,0.0,3
49,3,0.39975387,0.39607904,0.20416708999999994,0.0,0.0,-1026.997,10.0274157,29.9451322,39.9602787,0.0,0.0,3
50,4,0.40074872,0.20274823,0.19963776,0.19686529000000008,0.0,-1003.929,10.022944,20.0905198,30.1394296,40.0811251,0.0,4
51,2,0.39720329,0.60279671,0.0,0.0,0.0,-580.299,9.96856627,19.9109365,0.0,0.0,0.0,2
52,2,0.40040772,0.59959228,0.0,0.0,0.0,-537.141,9.95890395,20.0271183,0.0,0.0,0.0,2
53,3,0.40057276,0.40142342,0.19800382000000005,0.0,0.0,-998.609,10.0472081,30.0177198,40.0867593,0.0,0.0,3
54,5,0.20031684,0.19615441,0.22223188,0.27503654,0.10626033000000007,-1152.542,10.0363915,19.9111379,37.8278849,44.0386337,52.409318,4
55,3,0.19870367,0.21363092,0.58766541,0.0,0.0,-797.946,9.95901061,20.1419448,30.1186096,0.0,0.0,3
56,5,0.38706738,0.04976505,0.16276029,0.32422191,0.07618537000000003,-1016.099,9.88236833,16.5536867,20.5007636,39.1553381,43.5418333,3
57,3,0.20055588,0.59591894,0.20352517999999997,0.0,0.0,-1151.671,9.97114392,39.861074,50.090288,0.0,0.0,3
58,3,0.55006729,0.22351685,0.22641586000000002,0.0,0.0,-727.374,19.6301416,27.3237145,31.3743365,0.0,0.0,2
59,5,0.19789618,0.36061425,0.09854629,0.14684972,0.19609356000000003,-1301.987,9.96833269,19.6697199,25.6210295,31.2883098,50.2387003,4
60,3,0.38211596,0.04961674,0.5682673,0.0,0.0,-1021.968,29.8204582,40.3934315,50.529775,0.0,0.0,2
61,4,0.19933674,0.09691003,0.29080764,0.41294559000000003,0.0,-897.2,9.95515593,27.6100414,35.3565328,41.4857233,0.0,3
62,5,0.10321097,0.12897395,0.22620244,0.25429228,0.28732036,-1099.784,18.8062157,22.3827942,32.1508011,43.9606623,51.3893117,4
63,4,0.19945412,0.40512818,0.20389387,0.19152383000000003,0.0,-1196.234,9.99004954,30.0775161,40.394707,50.4102593,0.0,4
64,5,0.20001394,0.16746128,0.15896508,0.36870163,0.10485807000000003,-1239.727,9.9813154,29.3559115,36.9530571,47.7039811,53.9144202,4
65,4,0.20198535,0.19910087,0.40706869,0.19184509000000005,0.0,-1211.69,9.97778606,20.0043025,40.0472471,50.1452649,0.0,4
66,4,0.2011236,0.19953323,0.21126881,0.38807435999999995,0.0,-1195.638,10.0540748,20.0521483,40.1387921,50.2070716,0.0,4
67,3,0.3970619,0.21845814,0.38447996000000007,0.0,0.0,-986.64,29.8985692,40.2056997,50.3012611,0.0,0.0,3
68,4,0.40226849,0.20272543,0.20759537,0.18741071000000004,0.0,-1058.824,10.0315435,20.0409956,30.4267301,40.2699191,0.0,4
69,4,0.1914226,0.17737791,0.52989735,0.10130213999999993,0.0,-787.649,9.78217927,25.9054999,19.3657724,32.1894491,0.0,3
70,4,0.20051273,0.20749457,0.20683299,0.38515971000000004,0.0,-1137.066,10.0416885,30.1431549,40.4915472,50.2236066,0.0,4
71,3,0.5909814,0.20860851,0.20041009,0.0,0.0,-959.809,19.9242925,29.7634634,40.0368177,0.0,0.0,3
72,5,0.19741168,0.18989878,0.02173651,0.4081837,0.18276933000000012,-1208.172,9.92994994,19.6716447,27.1805076,40.3617499,50.7132053,4
73,4,0.19915372,0.21765385,0.40824034,0.17495209,0.0,-1198.457,9.99001733,30.3516275,40.6598497,50.9072093,0.0,4
74,5,0.01896997,0.39202807,0.38852254,0.1040404,0.09643902000000001,-1018.308,6.43553779,10.2116486,20.156445,38.21721,41.9191878,3
