,Actual,Coef1,Coef2,Coef3,Coef4,Coef5,Minimum_value,Mu1,Mu2,Mu3,Mu4,Mu5,Predicted
0,4,0.19718869,0.17020525,0.4255044,0.20710166000000008,0.0,-1204.882,9.926075362762708,19.732105387660905,34.400897414638855,48.736278907339766,0.0,5
1,3,0.19980197,0.39467643,0.4055216,0.0,0.0,-1109.128,10.02999087389451,51.65315494968094,48.37960357649071,0.0,0.0,2
2,4,0.40270251,0.19776819,0.19939348,0.20013581999999996,0.0,-1214.399,10.06409991192469,20.184947857040168,30.173217948499566,50.126172481942376,0.0,4
3,4,0.20068587,0.19690209,0.45290287,0.1495091699999999,0.0,-1261.233,10.004598130240858,19.948249709104967,40.680500184372974,51.26815549772334,0.0,4
4,3,0.41032561,0.40996329,0.1797111,0.0,0.0,-1049.156,30.031794948877316,40.509323521143806,50.61237802234981,0.0,0.0,3
5,4,0.39583957,0.18828237,0.21012289,0.20575517000000004,0.0,-1192.914,9.996652604679678,19.426614282265927,29.312188362883976,49.66876552008171,0.0,4
6,3,0.39997991,0.19676948,0.40325061,0.0,0.0,-1189.477,10.021983426383143,29.936667802758876,50.01009101896166,0.0,0.0,3
7,4,0.20022567,0.20026506,0.40012913,0.19938013999999998,0.0,-1216.187,10.013513044770889,20.028082200205148,30.043889978587817,50.032438964001834,0.0,4
8,2,0.7990427,0.2009573,0.0,0.0,0.0,-706.283,10.000755221616744,29.957852382660167,0.0,0.0,0.0,2
9,5,0.20062967,0.20602048,0.21058722,0.20363296,0.1791296700000001,-1184.386,9.977709277328554,20.187743751364717,30.609917208421496,41.088605894946184,50.599031925810515,5
10,3,0.39548233,0.40506543,0.19945224,0.0,0.0,-955.38,9.967525278189681,19.95522783426994,39.9166519178546,0.0,0.0,3
11,3,0.60104159,0.19963515,0.19932325999999997,0.0,0.0,-1375.201,9.969974822253834,20.024866717371378,50.006828786745025,0.0,0.0,3
12,3,0.19857556,0.399453,0.40197144,0.0,0.0,-896.961,19.993144394326173,29.98240663808241,40.120311528881416,0.0,0.0,3
13,3,0.41276139,0.40223751,0.18500109999999997,0.0,0.0,-942.019,20.120394633318327,30.340874616471762,40.504529288488804,0.0,0.0,3
14,3,0.19978982,0.57603031,0.22417986999999995,0.0,0.0,-1118.125,10.00994737513377,39.617432003174436,49.45009749894057,0.0,0.0,3
15,4,0.3440952,0.26053873,0.19295141,0.20241466000000008,0.0,-1144.186,10.011043825047395,10.011575354537488,40.00521218194169,49.87335576839652,0.0,3
16,4,0.20033911,0.20326339,0.40121477,0.19518272999999992,0.0,-1219.219,10.076952746684464,30.101292196504453,40.22585020483894,50.357530615468875,0.0,4
