,AIC,BIC,Functions_evaluated,Chi-squared,N,N_err,P,P_err
1,-1125.827,-1120.966,82.0,0.0,99.973365,0.100404,0.00366577,0.010519
2,-1528.28,-1522.807,41.0,0.0,199.875113,0.169398,0.00380459,0.004103
3,-1988.858,-1982.864,40.0,0.0,299.922381,0.226688,0.00382317,0.00529
4,-2375.69,-2369.316,46.0,0.0,399.709134,0.306797,0.00384695,0.003213
5,-2627.964,-2621.388,42.0,0.0,499.649981,0.363263,0.00383032,0.003376
